http://movie.douban.com/subject/2229596/	东游记
(3星)	 好久以前电视上放的，最近好像有开始放了。            
(NA)	 .......            
(3星)	 东华上仙，这是里面我唯一认可的人，呵呵...应该说仙吧，哈哈            
(5星)	 白牡丹好漂亮啊！            
(4星)	 舍不下仙姑和仙子            
(2星)	 那时省电台的黄金十八点一直播            
(3星)	 其实我喜欢猴子和龙女那对 秀珍姐气质好美 恶心的是教主和牡丹姐 一对臭            
(4星)	 不知道为什么，当时很痴迷的...犹喜欢韩湘子，和他的妻            
(3星)	 当时就是闲着无事看的，不过里面咆哮涛的表演还是挺出众的~还有，我一直以为蓝采和是女的。。            
(3星)	 八仙过海啊~            
(3星)	 現在被我們當成飯後談資的一部電視劇。什麽牡丹阿、仙姑阿、都可以好好的YY一下。            
(2星)	 受不了剧情了，唉，乱七八糟的什么啊            
(NA)	 本人曾任牡丹仙子會長一職--|            
(3星)	 小时候看的……            
(NA)	 初三印象            
(5星)	 最喜欢看吕洞宾中血咒之前嘿嘿就喜欢看他不敢爱牡丹仙子的小样~呃。。。有点小bt            
(2星)	 马一如既往地激动着            
(3星)	 有印象            
(5星)	 当年痴迷仙姑的日子。。。还有贞娘。。。韩湘子不错，吕洞宾坑爹。。。            
(3星)	 难得新加坡还有出算不错的剧            
(NA)	 虽然看过 但对马景涛 从小烦到大            
(5星)	 很想重温一遍            
(3星)	 穿山甲还不错            
(3星)	 可以的            
(NA)	  八仙过海~~~~~~~~~            
(4星)	 为那个很美很青春的林湘萍。            
(5星)	 这里的小马哥还真是挺帅气的。难忘牡丹和吕洞宾            
(3星)	 小时候特别爱看！            
(5星)	 绝对经典的新加坡剧，不知道为什么讲八仙的要叫东游记。特别喜欢那首主题曲~            
(3星)	 一般            
(3星)	 当年铁拐李的头箍很雷我            
(5星)	 六年级            
(3星)	 马景涛，这里开始认识的            
(NA)	 这部电视剧拍的很有新意            
(NA)	 小时候觉得这个神仙什么的就是特别好玩            
(NA)	 播的时候竟然守着看完了= =新加坡普通话好别扭- -            
(5星)	 剧本很好，灵儿很帅            
(NA)	 以前很喜欢演何仙姑那女生。            
(5星)	 比西遊記好看多了~~            
(3星)	 果冻            
(NA)	 终于知道为什么郑秀珍那么面熟了            
(5星)	 童年回忆，看了无数遍，真好看            
(4星)	 美女~~~~~            
(3星)	 九寨沟的风景好            
(4星)	 好看得很            
(4星)	 还行吧            
(4星)	 郭妃丽惊为天人！            
(3星)	 歌很好听            
(NA)	 喜欢！            
(3星)	 感情缠绵情节过多，剧情拖沓。            
(2星)	 室内戏的布景很烂。剧情瞎扯。新加坡的美女还是值得一看的，还有常铖。            
