http://movie.douban.com/subject/2138507/	奋斗
(5星)	 不同时期，不同的感触            
(NA)	 很很很好看。            
(5星)	 偶尔看看有滔滔不绝对白的片子也很不错。            
(NA)	 梦想。。奋斗。。。。            
(3星)	 没有多少创新啊!俗套            
(NA)	 不是所有80后的人生都是这样的.虽然电视来源于生活,但他,确实是高于生活了...为了理想,为了生活,为了自己,我们应该奋斗起来,站起来...            
(5星)	 我们要工作 我们要恋爱 我们要奋斗 这件事十万火急！            
(NA)	 极其不现实            
(5星)	 对白挺逗，有时有点儿假---过了；不过整体不错～            
(NA)	 还算是不错的电视剧吧            
(NA)	 还是蛮喜欢的，毕竟有很多希冀！            
(4星)	 80后？至少也是85前  那个北京调调比较迷人            
(NA)	 和米萊合影楽。。。            
(4星)	 很假很现实            
(NA)	 他们的故事，我们的生活            
(3星)	 只能说大陆偶像剧有所进步~说励志还是有些牵强的，这群年轻人的成功来得似乎比常人都容易~            
(4星)	 = =没办法，还是喜欢李小璐……文章的萌感初见端倪啊！BTW当年在南宁有陌生人说我头型很酷像夏琳……            
(3星)	 不现实的奋斗和爱情            
(4星)	 80后的我们应该特有感觉吧！            
(2星)	 烂片。。。米莱让人心疼哪。。。            
(4星)	 奋斗吧            
(NA)	 最感动的是华子对春晓说，告诉我你的梦想吧，从今往后，我会为你的梦想而奋斗            
(NA)	 就是喜欢米莱。。。            
(3星)	 故事很牵强 要表达的东西很混乱年轻人就是这样 没有一种固定的价值观是正确的 按照自己的方式生活好了            
(1星)	 不适合我看            
(NA)	 能没看么？            
(NA)	 80后的电视剧 但是人真的不怎么样啊            
(NA)	 有点意犹未尽哦！            
(NA)	 从中看到了很多自身的困境。            
(NA)	 里面的对话很有意思  最喜欢米莱            
(NA)	 还可以 语言上            
(5星)	 我们迷茫的青春……            
(NA)	 就如同当年的（将爱情进行到底），有人追捧，有人谩骂            
(5星)	 不说好与坏,每个人的标准不一样.至少不讨厌.            
(4星)	 真是太像80后的人了！只是讲话也太利索了吧            
(3星)	 还可以，就是偶尔有些台词听起来有点受不了！            
(3星)	 台词很酷            
(3星)	 至少看到帅哥美女时尚服饰家装信息等等            
(NA)	 曾经的青春            
(2星)	 消磨时间可以            
(NA)	 看过了 喜欢杨晓芸和向南的故事都是跳着看的他俩            
(NA)	 恩 还行 喜欢向南            
(4星)	 台词比剧情吸引人 配角比主角演的好            
(5星)	 喜欢喜欢            
(NA)	 光说特讨厌夏琳，可是这里我最喜欢的就是她，他说讨厌她的清高，可是我就是喜欢她的清高，她的傲骨，我认为人就应该这样，在爱情面前不能因为条件不好就要显得卑微，爱情是平等的！            
(NA)	 我喜欢            
(4星)	 超出预期            
(5星)	 看见自己的曾经，现在，或是将来……            
(2星)	 原来大灰狼曾经希望的那种大房子早就有名儿了叫做LOFT；原来还有这么多大学生是毕业以后找工作的；原来申请学校之前竟然连语言成绩都不用要；恩，就喜欢看杨晓芸和向南吵架：煮狗鸡蛋～哈哈            
(NA)	 80后的生活            
(2星)	 虽然用《奋斗》但是我们没有看到他们的“奋斗”。很虚假，这并不是80后现在真实的状态！            
(NA)	 正是这种心态，适合毕业生看            
(2星)	 真假            
(NA)	 励志电视剧~和五星大饭店不一样的感觉！他表现了年轻人积极向上的一面！            
(5星)	 80后，我们的奋斗            
(5星)	 棒。很棒。非常棒。            
(NA)	 台词很经典            
(NA)	 米莱            
(NA)	 奋斗             
(NA)	 米莱真不错            
(4星)	 一部京味搞笑片            
(4星)	 直白的对话，最喜欢向南和晓芸这一对，这才是生活，偶尔有点冲动，偶尔有点浪漫，偶尔有点争吵。希望我也能有这样一个哨子，能被未来的老公抱着上楼梯，当然四合院的老鼠还是敬谢不敏~            
(4星)	 值得看下            
(3星)	 很能看懂的电视剧            
(2星)	 一50后的导演加一60后的编剧加一堆70后的演员，拍出一80后的片子。说实话我怎么看这片子怎么像黑80后的。            
(4星)	 还是有点假吧            
(NA)	 奋斗的人生            
(4星)	 还行            
(3星)	 断断续续的看，太高于生活。但是兄弟姐妹间的友谊，绝对无敌！            
(2星)	 还确实蛮不真实的。。。。            
(5星)	 激励一代人            
(4星)	 爱情励志剧            
(3星)	 虽然拍得粗糙，也还能看            
(NA)	 挺好看的，我喜欢这电视            
(NA)	 相比《士兵突击》，更看重这部剧的情感部分/            
(NA)	 不平常的国产谈情片！            
(NA)	 让我特郁闷的是,像米莱对陆涛、瑶瑶对向南的爱几乎都是完美的,结果最后这两个完美的女生却都没有得到爱情            
(3星)	 喜欢夏琳的独立自信，喜欢米莱的北京腔            
(5星)	 喜欢那满口的京话儿，很值得回味            
(5星)	 特喜欢看向南和杨晓芸吵架了,太逗了...            
(3星)	 这个名字我喜欢，让我向上！！！看第一遍时感觉他们说话超经典，第二遍时觉得不怎么好看啦，呵呵            
(NA)	 严重的80后，不实在但很现实。            
(NA)	 也许我们现在需要的就是这样奋斗的精神吧!把握自己的人生!            
(NA)	 我是向南～想找个小云            
(NA)	 电视剧            
(5星)	 不错不错！！！！！            
(NA)	 青春但不励志！！！            
(5星)	 其实向华子那样的朋友几乎绝种了。            
(5星)	 喜欢台词~            
(NA)	 太有趣了            
(4星)	 喜欢米莱            
(NA)	 看了N遍            
(4星)	 奋斗就是看不见奋斗，看见迷茫的激情理想冲动            
(3星)	 not as good as expected cuz it&#39;s not real            
(3星)	 台词真是没得说了，咱北方的学生没有没讲过的···            
(3星)	 喜欢米莱            
(NA)	 断断续续看的，开始很多人说很烂，烂我觉得倒还谈不上，反应咱80后那点事，还挺有真实感！            
(NA)	 不知道陆涛跟夏琳最开始应不应该，但是他们在一起真的很吸引人～我喜欢她们，喜欢这里面的每一个人，一部没有坏人的电视剧～            
(NA)	 平常人的生活，很贴近，但是很感人            
(NA)	 奋斗            
(4星)	 难得看着眼睛和脑袋都能得到满足的国产电视剧            
(3星)	 大概對電視劇麻木了……            
(4星)	 今天你。。奋斗。。了没？            
(NA)	 喜欢里面的台词            
(5星)	 与青春有关的日子正在经历            
(3星)	 假，看不下去了，2266地看着            
(NA)	 请您受骗            
(NA)	 一篇励志的好片            
(3星)	 难得的现代生活片，不容易啊。但是电视剧里的永远是有钱人。            
(4星)	 不错的励志剧，喜欢马伊利的表演            
(3星)	 不知道说什么好，总算有拍给年轻人看的片子，不过还是离现实太远了，难以产生太多的共鸣            
(3星)	 有点假，语言有种戏剧腔            
(3星)	 烏托邦            
(4星)	 理想与现实的落差演的那么真是，给我们这些即将步入社会的人敲响了警铃            
(NA)	 80后的生活是这样的？？？？？？            
(3星)	 刚刚毕业的他们不是碰了一头灰，就是认识到了理想与现实的落差.            
(1星)	 烂啊，真是闹心，想不通怎么会有人觉得这个有激励作用，我要是被激励成这个样子，我妈也得闹心了。            
(4星)	 前一段日子积极响应的电视剧            
(5星)	 看了 很振奋~！            
(4星)	 不需要推荐的的推荐，就是很荐~            
(5星)	 只有华子像奋斗~            
(3星)	 每个人都坚持自我，并且尊重他人。相安无事，世界太平。            
(1星)	 80后确实不是这样的            
(NA)	 喜欢这样的感觉            
(2星)	 台词挺逗的，但剧情太假了。            
(4星)	 这个知名度，还用说吗？            
(NA)	 真假            
(NA)	 喜欢里面的华子.....            
(NA)	 我实在受不了这部戏了～还能再傻点么？            
(NA)	 对于我们来说，什么是真正的成功？什么是真正的幸福？如果我们不能向前走，也不能像后走，停下来，看一看，也许是最好的方式。            
(5星)	 。。。。米来。。唉            
(5星)	 最经典的是台词```            
(3星)	 一般            
(3星)	 看过了，但放弃了。            
(NA)	 爱死夏琳陆淘爱死向南杨晓芸爱死里面所有人            
(NA)	 通宵看的，当时很闲            
(3星)	 第一次看很喜欢 再看就觉得很讨厌了 真实 感觉却极端            
(NA)	 奋斗            
(NA)	 一群无忧无虑的小p孩的一堆p事            
(1星)	 典型yy            
(NA)	 正在奋斗中            
(5星)	 真实            
(NA)	 好看~~            
(4星)	 有点脱离实际，还是喜欢            
(5星)	 居家发呆，办公室无聊的必备佳品            
(4星)	 其实这部电视除了陆涛，别人都挺真实的！！！            
(3星)	 一个童话            
(NA)	 简直神奇            
(NA)	 干嘛叫&#34;奋斗&#34;呢?!             
(NA)	 青春那么美好，人生那么美好            
(5星)	 据说是80后的圣经，话很是搞笑啊            
(4星)	 讨厌自负和劈腿的人。            
(5星)	 80后的奋斗与心境P.S.I&#39;m fine and I&#39;ll try            
(5星)	 米莱 米莱             
(NA)	 现实比他们演的残酷多啦            
(NA)	 青春的年少            
(2星)	 除了牛掰还有啥            
(3星)	 结论，年轻新一代导演的个人YY之作            
(NA)	 喜欢米莱            
(3星)	 别被标题迷惑了，当作一个消遣，看看养眼的美女们，还是不错的。            
(5星)	 我们都要奋斗            
(NA)	 不太现实的奋斗            
(3星)	 第一集,还有31集            
(5星)	 我着迷了~             
(NA)	 我没觉得他们怎么奋斗了，一群奋青还差不多            
(3星)	 不见得多深刻,但是胜在台词清新有活力. 最近一段时间时时在想&#34;我为什么而奋斗&#34;            
(1星)	 真鄙视这部电视剧  看了这个再也不想看石康任何一本书            
(4星)	 最终还是看不下去了            
(5星)	 80后的面貌  自身的彻底剖析 简单 深刻            
(4星)	 有好感的是夏琳            
(NA)	 挺好看得的，京片子很逗            
(4星)	 不管怎样 从这几个年轻人的身上总能找到青春的跳跃和执着            
(4星)	 80后的生活            
(4星)	 要大休 等死了以后完全来得及 活着就要折腾折腾            
(4星)	 喜欢米莱，喜欢向南...            
(4星)	 虎头蛇尾            
(2星)	 闹心            
(3星)	 说是反映八十后大学毕业后的奋斗，就华子和向南挺现实的            
(5星)	 北京人说话 嘿嘿好玩            
(3星)	 根本不是在励志～            
(NA)	 特喜欢杨小芸.UPUP            
(4星)	 挺现实的，其实            
(3星)	 童话故事　有些励志台词还可以            
(4星)	 说是励志片倒不觉得，有过于理想和完美的倾向，俊男美女很赏心悦目，挺潮流挺时尚，但仍然是迷茫，只表现了现状，没有答案的片子⋯⋯            
(5星)	 其实我觉得他们和我都不像            
(5星)	 北京新青年的生活            
(NA)	 80后的旗帜            
(3星)	 大学生毕业后的故事，真实感人            
(4星)	 一点点虚幻，一点点真实，一点点感动，足够            
(5星)	 很精彩，但是有点以迎合大众口味为目的。我头一回看完的电视剧，花了我两天半的时间～            
(NA)	 奋斗    青春  励志  爱情  梦想             
(4星)	 理想、浪漫的“奋斗”            
(4星)	 除了各种各样的调侃与搞笑，这是一个反映现实的一点都不现实的剧集。            
(NA)	 经典的台词...            
(5星)	 各种价值观的冲撞            
(4星)	 虽然有些地方让人失望，不过还是非常值得一看。            
(NA)	 离我们的生活太远            
(5星)	 我高中就看过，上大学了，又一遍，呵呵            
(3星)	 没看完            
(5星)	 想拥有无悔的青春            
(2星)	 王珞丹有味道陆涛就一贱B 马伊利不好看             
(NA)	 《奋斗》观后感：一、倒腾爱情不容易；二、房地产是真能赚；三、不插广告看电视，怎一个爽字了得！             
(3星)	 觉得应该叫《运气》            
(3星)	 有点不切实际，不靠谱            
(NA)	 超喜欢京腔            
(NA)	 提醒我深思我的人生~~~有好多感想，有谁也看过吗？            
(NA)	 加油！            
(NA)	 耍贫嘴            
(5星)	 假,但逗就行了            
(5星)	 不多的国产青春剧里最喜欢的一部！            
(4星)	 关于青春~ 活着的青春~            
(NA)	 正好刚毕业就看了这个片子，所以格外有感觉            
(4星)	 看过的大多书成年人都可以从中找到自己的影子可我似乎找不到啊~            
(4星)	 我不喜欢结局，假但说话挺逗在中国电视剧中酸很不错的了            
(4星)	 台词很经典            
(NA)	 太做作啦，唯一的亮点是台词搞笑            
(NA)	 我要用我的青春做什么？这是看过它之后我想的最多的一个问题            
(NA)	 难得的片子。            
(1星)	 耐着性子还是看完了，这个片子不应该叫奋斗，应该叫无知，幼稚，腐化和任性            
(1星)	 我就没看出来它哪好看            
(1星)	 http://www.dandande.com/6/536/index.htm            
(4星)	 很好看            
(4星)	 富有戏剧冲突的人生            
(4星)	 左边。            
(3星)	 贫。可算明白为什么那么多人喜欢米莱了，男女主角实在不讨喜，都过得挺好的，没事老较什么劲啊。谁写的来着，一批发polo衫的，一批发吊带背心的。很生活的剧集，不过我还是喜欢升华点的《我们无处安放的青春》。            
(4星)	 脱离现实虽然还不错            
(NA)	 为了梦想..奋斗            
(3星)	 虽然这不是“北漂”的奋斗，虽然影片也不是很完美，正如生活中的我们，但还是那句：有一种力量来自现实生活中的共鸣            
(NA)	 这就叫奋斗？？            
(NA)	 看完了            
(5星)	 80后需要干的片子            
(2星)	 奋斗,坚持,不懈奋斗,不懈坚持,才有希望,才可能成功.            
(NA)	 一个同学说没有看过这个就没有青春，还好我看过．            
(5星)	 终于看到和自己生活有点着边的电视剧了。有意思！！            
(3星)	 激起了我们很多80后的奋斗激情！~但是，结尾处理得比较差，主人公也没怎么奋斗~            
(5星)	 鼓励大家都去看看            
(NA)	 表现当代人面对的生活、爱情、事业等问题的态度，具体到每一个人物。　　精神层面是积极向上，坚持自我，顽强不屈。            
(4星)	 总体说还可以吧，前面部分比后面好看些。里面的一些话有些道理。似乎我们只有经历过后才会懂得珍惜。            
(NA)	 里面的人和事都那么的真            
(NA)	 感觉这前31点半集是有意义的.....结尾过于潦草            
(4星)	 我讨厌陆涛，喜欢向南和华子；这是一部幻想大过现实的片子            
(4星)	 地道的北京学生口音和生活。虽然剧情有点离奇但是还是很真实            
(3星)	 一般般            
(NA)	 年轻人的爱情，事业和奋斗            
(3星)	 i like milan            
(4星)	 没有那么震撼，但是喜欢米莱多点~~            
(5星)	 对话犀利，生活很有激情            
(NA)	 立志             
(NA)	 米莱那匹马。。。            
(4星)	 太理想主义的男人我不要            
(5星)	 杨小云和向南太逗了！！            
(5星)	 奋斗吧            
(4星)	 台词还不错的...            
(4星)	 最喜欢王路丹,是她让这部片子亮了起来.            
(3星)	 在同学的推荐下看的,很经典!            
(4星)	 他她妈的奋斗了么？            
(5星)	 真好看!真够讽刺~            
(5星)	 好吧,人生的,理想的,爱情的,友情的奋斗...会的..            
(4星)	 戏如人生，人生如戏，与其说他们是在演戏，不是说他们是把一段又一段真实的人生搬上舞台，与更多的人分享，让更多的人明白一些重要的人生经验。            
(4星)	 恩。。。80后            
(4星)	 和奋斗无关，一部很好的yy电视剧，可以当作故事来看            
(3星)	 除了台词比较精彩外~拒绝承认这个连续剧是说80后的奋斗……anti~~鄙视~            
(3星)	 青春  理想  爱  恨    一部让人回忆起很多事情的电视剧            
(NA)	 几个北京人贫呗            
(5星)	 让人特别心动的青春            
(3星)	 挺好的            
(4星)	 还是不够真实不过很好看            
(5星)	 从这里懂了好多，教会我少走弯路。“人模狗样的奋斗去吧！等老了再大歇。”            
(3星)	 除了片名叫奋斗,看出来哪里奋斗了            
(4星)	 喜欢米莱讨厌夏林            
(4星)	 有关青春和梦想的结局！！！            
(NA)	 情节不怎么样，但里面的语言却很经典。还是挺喜欢的            
(4星)	 米莱米莱米莱。            
(5星)	 好看            
(5星)	 热播电视连续剧            
(5星)	 想学北京人的贫嘴吗 看奋斗吧            
(4星)	 有梦升起的地方，推荐~            
(NA)	 感觉跟大家一样，与奋斗无关的一部电视剧．　　　不想向南和杨晓芸在一起，觉得华子应该跟露露分手的，陆涛应该跟夏琳的，小灵仙很可爱，瑶瑶也很不错，不讨厌米莱，却也不喜欢，发现有时候的自己跟她好像．　　有时人摸不着头脑，却又有所感悟．．            
(NA)	 很不错的。。            
(5星)	 狂喜欢．．．            
(NA)	 学会好好的爱一个人!不论发生了什么，不要放弃自己的梦想！为未来努力奋斗！抓住生命中最重要的东西!            
(4星)	 台词很可爱            
(3星)	 经常不看剧情只听对白,另外,非常喜欢米莱,小灵仙,谢谢            
(5星)	 一部难忘的作品，一段难忘的记忆！            
(NA)	 很喜欢里面夏林的性格，既洒脱又能放得下。我应该向她学习、懂得奋斗。            
(4星)	 除了主角，其他人物的性格个性都值得研究            
(5星)	 京片子            
(NA)	 奋斗            
(NA)	 还没看完，希望向南和杨晓芸和好，呵呵。            
(NA)	 还行,挺搞笑的            
(4星)	 08.1.20 奋斗。。。            
(4星)	 看了真得让人很亢奋,很激动~            
(NA)	 看见他们就象看见自己,害怕,彷徨            
(NA)	 大家都说它现实，展现了真实的我们，可是我觉得陆涛的人生还是很梦幻！            
(NA)	 舍友介绍            
(5星)	 人就是要趁还活着的时候，出去折腾折腾。            
(NA)	 我们的青春~            
(5星)	 现实中的梦想            
(NA)	 虽然有点假 不过看看不错的            
(3星)	 喜欢夏琳..            
(4星)	 太火，不评            
(NA)	 07感触最深的            
(2星)	 我是80后...            
(4星)	 很赞很赞的电视剧，买了dvd，送给了鱼姐姐留作纪念。剧中最喜欢的角色不是陆涛，而是向南。感觉向南比较真实一点，很好的演绎了一个丈夫的角色。不喜欢陆涛，给人一种全世界都欠他的感觉，我个人认为比较欠扁的那种类型。总的来说，值得一看的片子。            
(4星)	 看完它，我发现自己又成长了~            
(NA)	 不错            
(4星)	 喜欢夏琳这个样子的女人，自立又会为爱情妥协，理智与情感并重。            
(5星)	 为了梦想冲冲冲            
(3星)	 剧中的男性一个都不喜欢            
(2星)	 呕            
(5星)	 可以用一切美好的词汇来形容这部讲述80年代后年轻一代的剧集。。青春，活力，激情，梦想，勇敢，责任，幸福，生活。。            
(5星)	 嘿嘿，不得不看的呀。相当的精彩喔~            
(4星)	 觉得他们的生活里有很多和我们类似的地方。            
(4星)	 很现实``现代都市年轻人的生活写照``            
(5星)	 相信朋友，朋友的朋友……我们是一群人，我们要从自己的各种阴影中走出来，去干事业，去谈恋爱，去吃饭，去喝酒，去看电影，去旅游……要珍惜这些只属于只属于自己的机会，要替每个朋友去珍惜，特别的珍惜，为了美好的明天去奋斗！！！            
(NA)	 喜欢米莱``            
(NA)	 奋斗特别逗            
(4星)	 爱死主题曲了~            
(5星)	 在奋斗```在奋斗````            
(NA)	 这部片子如果不是佟大为演的会更好看。            
(4星)	 喜欢里面个性鲜明的女孩子，尤其是为爱痴狂的米莱～            
(2星)	 越看越觉得傻...            
(NA)	 里面的那什么佟大为还好啊，为什么一时想不通去拍了苹果呢，真是自甘堕落自毁前程啊。。。不知道以后人们会怎么定义他。。。            
(4星)	 A爱B,B爱C,C爱B            
(3星)	 遥遥真好陆滔只知道靠富爸爸和女人            
(5星)	 迷失的奋斗            
(NA)	 人生就是要迷茫中找到自己想要的。            
(NA)	 看完很佩服的            
(NA)	 整个瞎扯            
(5星)	 我喜欢杨晓芸和向南那一对，贼逗！            
(3星)	 看的时候感觉很招人，熬了通宵直到中午一口气看完。看完以后猛然发觉上当了。            
(3星)	 不是很现实            
(4星)	 看着很带劲的电视剧，不错~！            
(1星)	 鄙视...            
(NA)	 想看看那些未来的想象变成什么样出现在眼前            
(4星)	 但是根本就没有讲是怎么奋斗的，就是讲述爱情方面的了，事业上基本还是靠有钱的父母，靠势力和金钱            
(4星)	 值得一看，很多需要引以为戒的东西渗透其中            
(NA)	 我喜欢米莱 可是我不愿意是米莱            
(4星)	 开头不错，剧情不够现实            
(NA)	 赵宝刚的又一力作，是新的突破            
(NA)	 很现实，我不讨厌晓云，不讨厌露露，虽然他们有悖她们的爱情；我为米莱感动，一个女孩最大心愿不过是为喜欢的人付出，在看到陆涛第一次为米莱哭的那集，我也哭了；我希望变成想夏林那样的女孩，只有自立的女孩才能拥有爱情的同时也拥有事业。            
(3星)	 并不现实却也让我看到了很多可能性续集应该不用看了            
(3星)	 里面没一个正常人，台词不错，其实一般。            
(1星)	 太矫情！            
(5星)	 现代青年人生活工作的写照            
(4星)	 空想主义            
(5星)	 看到他们这样为自己的理想和梦想奋斗，让我自惭形秽，更自卑            
(NA)	 过度理想化，反映了很多初涉职场的新人的理想工作状态，一个有钱的老爹，一帮志同道合的朋友，一个高起点的平台。总之，一切都太完美了，不真实。            
(NA)	 年轻人的电视剧            
(4星)	 有自己的影子            
(5星)	 超好看，一定要看32集无删减版！和《血色浪漫》并列我最喜欢的电视剧            
(4星)	 喜欢那个米莱的女孩            
(NA)	 创业改变命运            
(NA)	 大陆的电视剧我实在是看不下去了..李小璐好漂亮啊``大大大眼睛..            
(3星)	 可以学习如何去生活            
(NA)	 太理想化，青春要都是这样也不错！！            
(NA)	 奋斗的起点还真高！！            
(5星)	 不说什么了，近来红透大江南北的电视剧。别说我跟风，对它涉及的内容虽然仁者见仁，但别人演的就是好。            
(3星)	 超级不喜欢夏琳！米莱，赞！            
(3星)	 拖沓            
(3星)	 还可以吧，挺好看的            
(NA)	 刚看是很激动，后来想想也太超现实了            
(3星)	 美女不少            
(NA)	 我在这个故事里，让生活总给他们送去叫他们感到“意外的礼物”，也就是叫他们哭笑不得的礼物，那是他们只能接受的“现实”。            
(NA)	 一开始看这部片子，挺喜欢，可看完后仔细想一想，主人公陆涛的成功太不具有一般性，每个人都想有这样的爸爸，可事实不是这样，在最后我认为向南和杨晓俞的爱情和婚姻才是正常人的生活，宁愿有这样的生活，也不要主人翁那样的生活。            
(4星)	 还可以~~            
(NA)	 好看            
(4星)	 恩。不错。很多话蛮经典。不过很多话偶都说过的。原来。偶已经典很久鸟。            
(5星)	 不错的片子            
(3星)	 此类型的国产剧中，算不错的了。            
(NA)	 米莱            
(NA)	 也就那样吧。            
(NA)	 扯淡但好看。现代武侠！            
(5星)	 谁都不会明白,我为什么会经常会看这部剧看到眼泪……            
(5星)	 虽然还是有些拖沓，但这就是我们经历的生活            
(4星)	 年轻的方式  怎么选择？            
(2星)	 看了不如没看.            
(3星)	 一部遭受争议的片子，个人认为奋斗里的事业部分说的不真实，然后感情部分的表现很真实。有段时间看到米莱就哭，仿佛自己一般，也许很多人说，这姑娘傻的很啊，也许我也傻吧。不同的角色代表了很多现实中的人，没有什么是不可以理解的，但是不是什么都是可以原谅的，如果这样的，社会就和谐了。奋斗！一个正处于80后的人必须体会到的状态，我们必须奋斗，这是一个决定。现在的我，就是身体健康，钱包鼓鼓就可以拉~有资本做一些自己乐意做的事情，我想这就是生活吧~不奢望，更不梦想了，以前就知道所有的梦想不一定都拿来实现的，也许只是让我回味            
(NA)	 80后的一代            
(NA)	 真正通过自己奋斗的只有华子吧            
(4星)	 一个比较不现实但又很现实的以80后为主要背景的片子。喜欢            
(4星)	 大学生应该看看            
(5星)	 不知道该说什么，结局未完            
(NA)	 为数不多的好作品            
(NA)	 。。空泛            
(3星)	  年轻人的奋斗            
(5星)	 青少年的片啊            
(NA)	 80后            
(4星)	 过了这么久仔细回味，觉得还真的挺傻的            
(5星)	 作为一名80后，感觉这部片自还是挺符合自己的胃口            
(5星)	 好看，尤其是台词            
(5星)	 真不赖.            
(NA)	 乍一看感觉很好，看完就SO SO~~~最喜欢的是李小璐和文章那两个角色！            
(NA)	 还可以 挺搞笑            
(NA)	 片尾曲好好笑，每次听都在笑            
(NA)	 花了一个通宵的时间看完了这部连续剧.感触坡深.关于青春.未来,理想.生活.            
(NA)	 一度觉得很不错            
(5星)	 太適合我們了！《左邊》應拿奮斗里的片段當MV            
(NA)	 毕业很无奈            
(5星)	 好看！对白很有意思！            
(5星)	 我觉得值得“推荐”，加上我们家帅帅的推崇，“力荐”。与生活还是有一定的距离，但“青春”“励志”“梦想”“爱情”的主题词可以稳定一批忠诚的观众。对了，台词还不错，难怪热播后，编剧石康有话要说了。            
(NA)	 人对完美的追求，以及在追求的过程中所面临的困惑和窘境。            
(NA)	 &#34;今天你奋斗了么?&#34;            
(NA)	 挺喜欢的！~            
(NA)	 可惜,我也觉得矫情,过着奢侈的幸福的年轻人们,这样图个啥呢?            
(3星)	 这是一部喜剧吧？浓浓的北京话带着俊男美女洋房还有ＳＯＦＴ以及所谓的年轻人的梦想。石康老先生做的剧本有点糊弄人尤其是有理想有追求的一无所有的年轻人的感觉。            
(NA)	 224            
(4星)	 是十年后的《将爱情进行到底》            
(5星)	 适合年轻人看            
(NA)	 刚看完 影响挺大的            
(NA)	 开始觉得很有趣，后来感觉就淡了~            
(5星)	 编剧写的好，很多话很搞笑。只是生活超离现实。            
(3星)	 剧里的人生在现实中是不可能的，能有几个人有有钱有势的爸爸？有有钱又爱你，对你好的女朋友？            
(NA)	 真的不错，恍惚中看到自己的影子            
(5星)	 看了3遍,遍遍失落            
(4星)	 虽然剧情有点不现实，就总体而言，还是满喜欢这个电视剧的。            
(NA)	 不错的故事，可没奋斗啊            
(NA)	 一群蚂蚁的奋斗变成了一个名词，拍成了一个肥皂剧，另一群蚂蚁热捧。还有一只蚂蚁随便的说了两句……            
(NA)	 意识到了一点东西            
(NA)	 给我很多启发，喜欢那个成熟的男人。            
(5星)	 fighting            
(5星)	 让我们成长              
(NA)	 好看喜欢            
(2星)	 看了，没看全，倒是记住一首歌，没什么了            
(4星)	 生命在于折腾 人生在于奋斗            
(NA)	 喜欢，尤其是米莱            
(5星)	   奋斗的剧情其实一点都不“奋斗”，但是却的的确确与梦想有关。它也不够现实，毕业几年的小屁孩，买房，买车，换房，换车，盘个店，换个工作和吃饭喝水一样容易。殊不知，且不论在拐到八环以外还房价过万的北京做到这些比登天还难，就是一些二线城市，也不过是痴人说梦罢了。  但是我仍想说它真实，因为片中的语言，因为他们的生活态度，因为太多太多的东西。戏剧和现实永远有差距，我只想把它看作是投射现实的一面镜子，照人照己，如此而已。  因此，我喜欢杨小芸，向南。尽管他们不成功，更不完美，但是他们却是我们生活中的。            
(NA)	 用梦想的目光揭开蒙胧的现实            
(NA)	 生活，如此真实的大陆片            
(NA)	 青春啊            
(3星)	 当青春剧看看还行 总之对不起奋斗这个标题            
(5星)	 我在为什么奋斗？            
(4星)	 够现实,80后都该有共鸣.            
(3星)	 太不真实了            
(NA)	 爸妈也爱看            
(3星)	 扯的厉害            
(3星)	 一种浪漫色彩里的现实            
(NA)	 喜欢米莱            
(NA)	 昨晚在BTV《悦读》栏目，看了编剧石康的采访，比2001年的时候胖了一些。大家觉得《奋斗》挺好玩的，其实我在《奋斗》里找到了石康2001年的小说《激情与迷茫》的影子。            
(4星)	 快节奏，积极进取振奋人心的好剧啊            
(4星)	 每个人都在奋斗中找到了自己和朋友的影子。            
(NA)	 扯淡一样            
(NA)	 这是让我颇有感触地一部电视剧。我看到了很多身边的人的或者自己的影子。一口北京话听得我心里倍儿舒坦。但更多的是让我开始思考北京这个城市。。            
(NA)	 喜欢米莱，喜欢遥遥。可能因为现在想要付出的爱！            
(NA)	 超级好看~            
(3星)	 好看            
(4星)	 北京80后，我喜欢他们。喜欢他们的朋友。喜欢他们的爱情。            
(NA)	 大陆拍的很不错的说            
(NA)	 那个时候为了这不电视剧放弃了n多复习时间            
(NA)	 一般，没有我想象中那么好看！            
(4星)	 没怎么看清楚主角的奋斗历程。角色中却有不少可人儿            
(NA)	 台词好玩 与奋斗没多大关系吧            
(NA)	 有几个桥段还行 奋斗爱情？            
(NA)	 我也在奋斗中……            
(5星)	 这？也放在这里？推荐～            
(4星)	 每天早晨看看福布斯富豪榜，如果上面没有你我的 名字，那我就继续穿好衣服上班。            
(5星)	 看奋斗，是被第一集剧情给吸引了。夸张的爱情。不能算是励志剧，但是，关于爱情，倒是刻画的很真实。现在的年轻人，之于爱情，基本也就是这样的状态。勇于追求；错过了；放弃了；爱的深；痛的深……            
(NA)	 还在奋斗的看ING            
(NA)	 说实话不大喜欢这样的电影            
(2星)	 脱离现实            
(NA)	 到最后，身边的会是谁？            
(5星)	 很贴近自己的生活状态            
(3星)	 一半真实,一半虚假            
(NA)	 太喜欢看啦 ^_^            
(NA)	 八十后的浮躁             
(3星)	 编剧不好，太小说化，拍得有点像舞台剧。但是题材很吸引我。喜欢米莱，一个人可以这么随性地爱一次，不管结果如何，都够了；讨厌夏琳，她的行为更多的是自私自大自卑的使然，当然，现实中，她这样的人会得到更多。会哭的孩子有奶吃。            
(NA)	 影响深刻            
(4星)	 想爱就要疯狂，想放弃就坚强。形容80后有些牵强            
