http://movie.douban.com/subject/1899616/	与青春有关的日子
(5星)	     汪若海            
(5星)	 被埋没的一部神剧            
(1星)	 题材不错，可惜拍得糟透了。            
(5星)	 我操，看过的人还不到一万啊。            
(5星)	 喜欢这种感觉            
(5星)	 个人感怀            
(5星)	 喜欢卓越。所以认识了文章            
(4星)	 虽然乱的有些荒谬 但还是值得一看             
(4星)	 一切就如本片的介绍那样            
(4星)	 就是太长了            
(NA)	 叶京 冯小刚，王朔，海岩，王中军            
(5星)	 真的把北京爷们的贫发挥到了极致。。。            
(5星)	 卓越是好青年 方言是装逼犯加王八蛋            
(3星)	 耍嘴皮子            
(NA)	 我们浪费掉了太多的青春，那是一段如此自以为是又如此狼狈不堪的青春岁月。有欢笑，也有泪水；有朝气，也有颓废；有甜蜜，也有荒唐；有自信，也有迷茫；我们敏感，我们偏执；我们顽固到底的故作坚强；我们轻易的伤害别人，也轻易地被别人所伤；我们追逐于颓废的快乐，陶醉于寂寞的美丽，我们坚信自己与            
(5星)	 这就是人生            
(5星)	 一帮贫嘴流氓的故事~和茶馆搭配着看，了解中国近现代100年            
(5星)	 看过N遍 超喜欢 喜欢那个年代的片子            
(4星)	 一段文革后一代人的真实记录            
(4星)	 老爸和我一起看，这样的日子，每个人的青春            
(5星)	 现在为止看过的最有感触的东西，最有本事让我涌出热泪的东西。            
(5星)	 往事只能回味。。。真的是这样么？这部电视剧伴我走过了我很艰难的一段岁月，最亲密的友谊竟是这么不堪一击。已经累到不想去挽回了。长大了，有些人变了，当时最看重的东西，现在已经不那么重要了。自己认为自己做事从来没有对不起自己的良心，也许我们不适合当最亲近的朋友，只适合在心理默默想念祝福            
(4星)	 电视剧不错，但太长了，另外佟大为演的太差了。            
(5星)	 人长大总会有烦恼，而且会越来越多。成长就是一件逼不得已的事儿！            
(4星)	 什么都好，就是挺矫情的。。。            
(5星)	 好喜欢卓越~            
(4星)	 《血色浪漫》第二部，但我还是相对更喜欢钟跃民的“血色浪漫”。喜欢文章。但在这里面主角们的感情仿佛有点。。。让我有些不能接受。但青春终究是永恒的主题，永不过时。            
(4星)	 原来都是一个圈子的事。            
(NA)	 很北京            
(5星)	 这个故事是我的故事的开始            
(5星)	 喜欢王朔的作品            
(4星)	 喜欢这种格调的            
(NA)	 描写青春的最经典的电视剧~~！！！绝对的好看~！！            
(5星)	 这样一群朋友 这样一段回忆 让人难以奢求            
(NA)	 很耐心地看了30来集，后面的走马观花得看了一遍……一个字，乱            
(4星)	 前面不错，后面差劲。离了王朔的小说果然不行了，后10集粗糙根本没法看。            
(4星)	 继续与妈妈....            
(5星)	 我们坐在高高的谷堆旁边,听妈妈讲那过去的事情.第一次知道&#34;文章&#34;这个人儿.            
(5星)	 很怀旧，很真实，很感人，根本不该叫血色浪漫2，比血色浪漫不知道好多少倍。            
(5星)	 电视上演的被剪的太夸张了。。            
(5星)	 今天才算完整看过，给5星            
(5星)	 呼啸而过            
(5星)	 怎么说呢 就是喜欢            
(NA)	 与青春有关的日子，我没有生活在那个年代，但是我被他们打动了。台词很经典，很喜欢高晋和卓越，美好的童年。            
(4星)	 一茬架就《女武神》-，-            
(4星)	 那时候刚去上海，生活没有保障，很贫穷，住的地方阴暗潮湿，有个人晚上看这个片子，看了整整一晚上，后来就哭了，为从前的日子和那段叫做青春的东西。那个人，还好，不是我            
(2星)	 不能跟血色浪漫媲美            
(4星)	 翻版“美国往事”            
(4星)	 那是一段多么狼狈的岁月~             
(5星)	 成就了百灵和羽凡            
(5星)	 刚上大一就看过了，好像又挥霍了四年，现在还算青春吗            
(5星)	 很绝的一部电视剧            
(5星)	 京式青春片            
(NA)	 冯裤子向冯小刚吗？            
(5星)	 真贫啊 ~我记住了冯裤子 高扬              
(5星)	 好看            
(5星)	 国产剧里最值得的！！！这就是青春！            
(5星)	 其实我觉得很啰嗦。但我当年真的看的一愣一愣的。            
(5星)	 大一的日子里            
(4星)	 美好的童年。。。。            
(3星)	 充满了暴力，谎言，欺骗，无聊的青春年代，无法理解那一代人的想法            
(4星)	 看过。            
(5星)	 很NB的片子            
(5星)	 那一辈人            
(5星)	 跨度很长，很现实，很美好，很痛快淋漓，很京味。            
(5星)	 这片子看了其他就没法看了牛            
(5星)	 卑鄙是卑鄙者的通行证，高尚是高尚者的墓志铭            
(NA)	 有点儿意思 很久以前看的了 某男像同学            
(5星)	 我有多喜欢无法形容。时光一去永不回，往事只能回味。            
(5星)	 ！！！青春            
(4星)	 很NB，但冗长，上一代人的青春伤逝。            
(2星)	 高考前看的            
(4星)	 最大的亮点就是那些京腔京味的胡侃吹牛，让人大开眼界。王朔的同类            
(5星)	 月亮在白莲花的云朵里穿行，我们坐在高高的谷堆旁边听妈妈讲那过去的故事            
(4星)	 喜欢上那首《听妈妈讲那过去的事情》.            
(4星)	 。想起与芳鸡一起追看的日子。最终，还是敌不过时间流逝            
(NA)	 。。            
(NA)	 与青春有关的日子            
(NA)	 青春就是要浪掷嘛..            
(5星)	 每每看到这个 心里都有一句台词；那些什么狗屁偶像剧 丫给我闪边儿去 。。。            
(NA)	 叶京是咋想的？让我看了三四遍            
(5星)	 喜欢那时的文章            
(4星)	 只是突然想起            
(5星)	 月亮在白莲花般的云朵里穿行~            
(3星)	 青春就是残酷的，前半段我们挥霍着游荡着没人指责；而后半段努力了奋斗了成就如何？原谅我吧，我还是个孩子。。。            
(5星)	 冯裤子~~哈哈哈哈哈            
(3星)	 后半部分比较拖沓了            
(5星)	 情结            
(5星)	 网吧招牌小穿帮都如此可爱            
(5星)	    真的能反映出我们青春的迷茫与纠结的一部电视剧            
(4星)	 与我们不一样的青春，却有一样的感觉，颓废，激情，不知道何去何从，翻过很多错误，永远都不能去改正，错过，也终于在某一天，明白所有的一切，也终于知道，青春真的一去不复返，现实终究太过残忍……            
(3星)	 喜欢前半部分            
(NA)	 真是与青春有关的日子，我想它会永久的保存在我的电脑中~            
(5星)	 人生中,我们有很多次,觉得自己真的长大了,成熟了.可某天再回想时才发现,自己原来又彻底SB了一回.推荐这片儿不是因为喜欢里面的生活方式，而是因为影片的真实，现实。            
(NA)	 京味的台词很强，不夸张的说是觉悟仅有            
(5星)	 为了理想 向我开炮            
(NA)	 其实青春都是一个样子的            
(NA)	 每个都很好 每个都不好            
(5星)	 大爱！            
(5星)	 文革期间的一帮小青年，文革之后的一帮投机者，清单述说式的电视剧，加上诙谐幽默的地道北京胡同文化，非常值得一看。            
(NA)	 没看几集            
(4星)	 跟我爸 一起看的            
(5星)	 必须5星            
(2星)	 有點神經質            
(3星)	 真能扯，练口才            
(5星)	 太好看了！            
(3星)	 有点乱            
(5星)	 老牌愤青的叙述.靠谱.!            
(5星)	 太太太经典了。一代人活生生的写照            
(5星)	 永远也忘不了卓越            
(5星)	 不敢看文章死的那集，那集之后都不敢看。我总觉得文章死了，他们就是大人了。            
(4星)	 很喜欢的一部片子            
(3星)	 美好的童年~~结尾真的太雷人!            
(2星)	 越看越觉得拖沓            
(4星)	 北京话好好听！            
(4星)	 还是觉得前边比后面好            
(4星)	 卓越 当时可喜欢文章白百何了            
(5星)	 看了不下10遍....            
(5星)	 我爱北京，大院子女，贫嘴，一辈子的情谊。            
(4星)	 耐看            
(5星)	 必须要看！！！！！！！！！！！！！！！！！！！！！            
(4星)	 没超越血色浪漫            
(NA)	 看的时候是大四,快要毕业,做完毕业设计,天气很热,白天窝家睡觉,或看此片.  晚上出去有时喝酒有时闲聊/有时一个人看,有时几个同学一起看,看完几集再传其他人手里\简直是有关大学生活,以及有关大学里朋友的最后奏鸣曲我喜欢这个片,就像曾经持续若干年迷恋王朔的文字            
(NA)	 好看！！比奋斗好看            
(5星)	 当时看到K有在度叔叔内边剪辑才看的，MS没看完            
(4星)	 我们坐在高高的谷堆旁边，听妈妈讲过去的故事。            
(NA)	 好看，挺有意思            
(4星)	 后半有些看不下去了。            
(4星)	 与我的大院生活是何其相似，十几年前那种莫名的优越感，现在荡然无存。是社会变化太快，还是军队大院太守旧？拍的很有感觉，可以感受到导演的诚意。就是剧情稍显啰嗦            
(3星)	 最喜的是卓越，没有什么心眼高尚是高尚者的墓志铭，卑鄙是卑鄙者的通行证。            
(5星)	 大院的孩子是那个时代北京人的代表            
(4星)	 不同时间段看，有不同的感受            
(5星)	 冯裤子，哈哈            
(4星)	 生活的意义            
(5星)	 卓越卓越卓越            
(4星)	 半部好片子。            
(NA)	 那段青春往事            
(5星)	 青春总是以不同的面目，相似的情节重复上演。对我们来说，青春只有一次，如何珍惜，如何面对我们却始终迷茫。站在青春的尾巴上，我们又开始思考，在即将到来的后青春时代，何去何从......            
(4星)	 曾经在某一瞬间，我们都以为自己长大了 但是有一天，我们终于发现 长大的含义除了欲望，还有勇气、责任、坚强以及某种必须的牺牲 尽管后面结尾几集草率的有些不尽人意~但依然纯粹的可爱~             
(5星)	 龟推荐的 好像有50多集 老tm长了  里面的冯裤子让人印象深刻 高洋则是我眼中男人中的男人 哈。            
(4星)	 起初看着还不错，后来就越来越混乱了，外加上一句没事总要说几句的废话。。。            
(NA)	 挺美好的一个年代，就是男女关系为嘛这么乱，丝毫不逊色现在的男女青年们            
(5星)	 不断重复的看  经典            
(5星)	 我感兴趣的那段岁月。            
(5星)	 我们的青春还在，不曾离我们远去，只是层层积淀的失去了光彩            
(5星)	 主要是配合书来看            
(NA)	 友情  爱情  亲情 什么都有 那帮人 那些事 那些回忆            
(4星)	 血色浪漫更像电视剧            
(5星)	 一辈子的经典！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(NA)	 哎  痛苦            
(4星)	 没你们这样的~            
(3星)	 压抑的生活，疯狂的生活，有点看不懂的乱七八糟            
(5星)	 特殊的年代总有特殊的故事            
(4星)	 很浪漫。            
(5星)	 贫的你很爽            
(4星)	 那是个疯狂的年代            
(4星)	 高尚是高尚者的墓志铭            
(5星)	 那个乔乔！！！            
(5星)	 我爱北京的一切            
(5星)	 我相当喜欢的一部电视剧。            
(5星)	 不错的            
(NA)	 因为空虚，春假几天连续看完            
(NA)	 再年少轻狂 也抵不过命运的一口唾沫            
(3星)	 从头贫道尾            
(NA)	 好看 羽凡和白百合的定情之作 最爱文章            
(3星)	 总觉得这部电视剧里少了点什么  说不出来  还好吧            
(NA)	 具有中国电视剧里程碑意义的作品            
(NA)	 好看            
(4星)	 断断续续的看完，非同寻常            
(5星)	 空气在颤抖，仿佛天空在燃烧。。是啊，暴风雨就要来了。。            
(4星)	 很喜欢里面的幽默！即使是黑色的            
(5星)	 最喜欢的一部国内电视剧            
(5星)	 这片太好了，高洋，大爱！            
(3星)	 看过心累            
(5星)	 一部能让我能看几遍的电视剧            
(3星)	 太乱了 不过我对那个谁说的话非常感冒  太深刻了。血淋淋            
(NA)	 知道比血色浪漫差在哪儿吗？这帮男女关系太混乱了，当时有那么开放吗？！完全是多对多的关系。贫嘴的那些戏还可以，挺逗的。            
(4星)	 就会侃。            
(4星)	 大学寝室的时候一起围着一台电脑看哇。            
(4星)	 我现在正在过着的。也是与青春有关的日子。            
(4星)	 混乱得很。唯独记得文章清澈的脸。            
(4星)	 一帮大院儿长大的孩子，真是无所不有。            
(4星)	 今天,之所以区别于昨天,恰恰是因为昨天的感受依然在我们心中...            
(5星)	 和原著有不同   新鲜            
(5星)	 经典            
(5星)	 最爱            
(4星)	 王朔的小说~            
(NA)	 啰嗦啊，害的我老是出戏            
(5星)	 有是关于一代人一箩筐的青春故事 感人至深            
(5星)	 很喜欢的一个讲述青春的电视。            
(3星)	 前10集很棒，台词超经典，后面是狗尾续貂了，陈羽凡的歌声唯美            
(4星)	 是根据王朔的小说《玩的就是心跳》改编            
(5星)	 趁年轻，出去闯。            
(3星)	 前面部分好，后面。。。             
(5星)	 小时院子里的汉奸，赵龙，羊文操，哈子，凉粉，大家一起站在楼上向街上的人甩石头，用砖杂人家的车，扯日历折飞机，然后下楼将整幢楼居民的门全部猛敲，现在都不知道去哪儿了，真J8怀恋            
(5星)	 青春 代价            
(5星)	 没经历过那个年代，多大程度上的反映是真实的?            
(NA)	 这部片子　让我们知道了　青春是用来挥霍的～！            
(5星)	 两字儿....那时候的男的怎么都是流氓            
(5星)	 发小就是瓷            
(5星)	 我们总是如此不真诚地对待我们的青春            
(5星)	 卓越死了。。。            
(4星)	 淡B都能淡出水平来。。            
(5星)	 太经典了 百合 羽凡！！            
(NA)	 最色的电视剧            
(NA)	 那些岁月……            
(5星)	 快去告诉列宁 布哈林是叛徒            
(5星)	 就是这部剧让我喜欢上了军旅题材的片子。            
(NA)	 相当经典的连续剧 传奇的故事 感人的历程            
(3星)	 和血色浪漫相比，这段日子太灰暗了时代毁了一代人？时代塑造了一代人？            
(4星)	 这种电视剧大部分都是虎头蛇尾。            
(4星)	 都是去年看过的了，期间一直都没连续的好好看过，后来总算不全了，之所以给四颗星那是因为该剧情完全与剧名贴合。            
(5星)	 “我们浪费掉了太多的青春，那是一段如此自以为是，而又狼狈不堪的岁月......”国产剧的巅峰之作，不仅仅经典，更堪称伟大和空前绝后，除此之外找不出别的形容词了。            
(5星)	 喜欢看老北京的生活 就好像在看我们的父辈们的青春岁月 理解他们 爱他们            
(5星)	 我少有的特喜欢的电视剧，我第二遍快看完了！            
(4星)	 不一样的日子，一样的青春            
(3星)	 电视剧进入我的视野了。。。            
(5星)	 一群看似不正常的年轻人，其实那才叫青春            
(NA)	 也许更适合六零后或者七零后的GGJJ，SSYY们            
(4星)	 还行。就是有点罗嗦            
(5星)	 真特别青春！            
(5星)	 青春是明知前方是悬崖，也要义无反顾的往下跳，触地那一刹那还要叫一句“青春万岁”            
(5星)	 大爱！            
(5星)	 吴胖子还有京城第一贫王匡林王先生             
(1星)	 又臭又长，充满了自以为是的傲慢与意淫。            
(5星)	 这才是爱情！！！！！！！！！！！这才是文学！！！！！！！！！！！！！这才是汉语的力量！！！！！！！！！！！！！！！虽然王朔是个汉化的下贱的鞑靼人            
(5星)	 看的很过瘾 很激情 很感人 经典片子            
(4星)	 液精呵呵            
(5星)	 文革果然造就了一批不同凡响的人，我真的很想去体验那个惊心动魄的年代            
(5星)	 喜欢那个年代不一样的青春。            
(5星)	 不用说什么 看了五遍还能哭出来            
(NA)	 情景群口相声            
(4星)	 很好~            
(5星)	 只能说非常经典，把王朔笔下的人物演活了            
(5星)	 太有北京味儿了            
(5星)	 有很牛逼的共鸣，但已离我远去            
(4星)	 不就扯谈么~            
(5星)	 剧情有些拖沓，但这丝毫没有影响我对这种作品的喜爱。            
(4星)	 一系列的青春剧，虽然记录的不是我们这带的青春，但青春总是让人感动的。            
(NA)	 相当的不错，不错的青春，不错的日子。肆无忌惮，其实那个年代简单，又或许是现在太复杂了？            
(5星)	 强烈推荐            
(5星)	 我的青春没有坑蒙拐骗，只有残酷的回忆！            
(4星)	 倒货那段太拖沓了！            
(3星)	 可能不是一个年代的人~ 真看着没傻感觉            
(4星)	 喜欢卓越            
(NA)	 超喜欢，认认真真从头到尾看过两遍~            
(5星)	 真贫那             
(4星)	 很多经典的台词，但不得不承认我的逻辑实在短浅，理不出很多事情的头绪。            
(5星)	 超爱            
(4星)	 你得跳着看            
(5星)	 正是那样的背景时代，才能成就那样一批人的一批青春岁月。这青春正是我想要的，這熱血是無與倫比的。53集，我一遍一遍重复的看，我懂，我懂他们！            
(3星)	 另一代人的青春            
(5星)	 父辈的青春 无悔的            
(5星)	 haha            
(1星)	 这么多人喜欢的伪青春，不比奋斗装            
(5星)	 一到假期我必看。我牛逼闪闪的五十二集啊。            
(4星)	 生活的写照            
(5星)	 推荐看十集，之后就是拖拉了没太大意思，文革的一段很有趣。            
(4星)	 有点长~ 但里面的人物都塑造得蛮有性格的            
(4星)	 我们所不熟悉的年代            
(4星)	 那帮人太逗乐~哈            
(NA)	   卓越是我最喜欢的一个角色，他真的很单纯            
(NA)	 十分钟爱，看了N遍，越是不属于那个年代就越是向往            
(5星)	 怀念和晨曦两天三夜看完此剧的日子            
(4星)	 很好看的一部国产剧，很真实，喜欢他们的京味，喜欢他们不肯吃亏却又想着互相，我看过王朔的原版小说，这才是那时候年轻人的生活吧，因为真实，所以精彩！            
(5星)	 血色浪漫 都没有这么好看 京味十足 呀 喜欢他妈的贫嘴             
(3星)	 剪不断理还乱            
(5星)	 北京的气息 关于中国的青春和北京的青春 那些影子在我们没到来的时代 演员有血有肉的身躯加上有血有肉的情节 值得一看！            
(5星)	 让我勾起了很多回忆，也让我明白了很多道理            
(3星)	 因为看的仓促，暂时还没看明白，还要再看一次。。            
(5星)	 那是我父亲得年代。            
(5星)	 从小一块偷幼儿园的向日葵，从楼上往过路的身上吐痰玩，美好的童年~~            
(5星)	 还没忘记大一时的为之痴迷 转眼间就毕业了！            
(3星)	 很乱套，看惯《血色浪漫》的人慎看            
(5星)	 不看真的是你的损失经典的对白让你捧腹不止你会发现那个年代的人还真是洒脱不羁 有股只属于那个年代的劲头。。。            
(NA)	 怎么觉得没一个好东西~            
(3星)	 很贫，很贫，还是很贫。。。而且愤青儿的不是一丁半点儿。。。            
(5星)	 这是特殊一代. 青春. 成长. 沧桑.            
(4星)	 冯小刚在这里算是栽了            
(3星)	 因为很怀旧而看，但是没看下去            
(5星)	 台词很经典            
(5星)	 混沌的青春，喜欢剧中人物的对话。            
(4星)	 混乱的开始看 糊涂的喜欢看 伤感的好看            
(5星)	 很好看            
(4星)	 从小就一块偷幼儿园的向日葵~~从楼上往过路人身上吐痰玩~~`美好的童年            
(NA)	 很喜欢            
(NA)	 没雪色浪漫好看            
(3星)	 70后发家致富的一批人            
(NA)	 长亭外  古道边            
(4星)	 我们浪费掉了太多的青春，那是一段如此自以为是又如此狼狈不堪的青春岁月，有欢笑也有泪水，有朝气也有颓废，有甜蜜也有荒唐，有自信也有迷茫，我们敏感我们偏执，我们顽固到底地故作坚强，我们轻易地伤害别人也轻易的被别人所伤，我们追逐于颓废的快乐，陶醉于寂寞的美丽，我们坚信自己与众不同坚信世界会因我而改变，我们觉醒其实我们已经不再年轻，我们的前途或者也不再是无限的，其实它又可曾是无限的，曾经在某一瞬间我们都以为自己长大了，有一天我们终于发现长大含义除了欲望还有勇气责任和坚强，以及某种必须的牺牲在生活面前我们还都是孩子            
(3星)	 曾经在某一瞬间，我们都以为自己长大了。但是有一天，我们终于发现，长大的含义除了欲望，还有勇气、责任、坚强以及某种必须的牺牲。在生活面前我们还都是孩子，其实我们从未长大，还不懂爱和被爱。             
(5星)	 喜欢里面的台词 喜欢里面的卓越！因为它本身就是部电视剧 所以有被戏化的地方 但是你不得不说它也有很多发人深思的东西在里面！            
(NA)	 那是一段自以为是，又狼狈不堪的青葱岁月            
(3星)	 荒唐岁月荒唐事 荒唐人物做了一场荒唐梦，最后梦里花落            
(4星)	 那个年代，那些人，往事只能回味            
(3星)	 放假回家买压缩碟来看的。确实没有当初看《血色浪漫》的激情了。            
(5星)	 我想标签已经很到位的表达了。            
(5星)	 看了N遍。很喜欢。。朋友兄弟之间的情谊在社会中面前的种种表现。。。            
(5星)	 好的电视剧就该是这样的，说不出为什么好，就是笑着感动着，然后一集接一集废寝忘食的看下去            
(NA)	 虽然有点冗长,但还是赚取了我很多的眼泪.            
(NA)	 怀念那与青春有关的日子            
(NA)	 体会....            
(NA)	 我承认，自己看不太明白            
(NA)	 只比现实夸张点，经典之处比比皆是！应该多看几遍！            
(4星)	 一各个都没点真事。。。。            
(5星)	 爸妈的那个时代，总会有无限的向往与好奇            
(3星)	 这是一杯白水 上面飘了一层油拂去表面的热闹 下面什么营养也没有            
(NA)	 超爱这部卑鄙是卑鄙者的通行证，高尚是高尚者的墓志铭那是一段岁月。那是一段与张扬有关的年华。            
(5星)	 真实，经典            
(5星)	 玩的就是心跳            
(5星)	 如果时光倒流            
(3星)	 题材不错，感觉演员欠点。            
(5星)	 不可多得 不可多得 不可多得能让我和我爸先后熬夜看完的电视剧我向往的青春            
(5星)	 外景、音乐棒，但越往后会发觉导演的自恋            
(NA)	 ？？            
(3星)	 还行吧 原著肯定更赞。吃鸡老板能把片子拍成这样也就算可以了吧。佟大为实在没有演技。。。。看不完了 不继续看了。不推荐。回头看原著吧。            
(5星)	 最喜欢的电视剧了，中国能拍出这样真是而又大胆的真不容易...            
(3星)	 大院子的孩子..时代背景下只属于北京的军二代们的世界虽然片子很能让人去思考中国整个背景            
(NA)	 最喜欢的卓越和冯裤子还有最熟悉的我向毛主席保证            
(5星)	 psp+通宵，让人羡慕的时光.            
(5星)	 那个年代的北京军区大院文化非常真实的展现,叶京编导很到位.            
(5星)	 矫情的台词觉得这就是那个年代的一切。            
(3星)	 一般，没传说中的好，大概是没有经历过所谓的大院生活，找不到共鸣            
(3星)	 里面的北京人特能侃。各个都是耍嘴皮子的功夫            
(4星)	 还是值得一看的            
(3星)	 感觉有些糊里糊涂，不知道拍的什么？关系颇复杂，没搞明白！            
(4星)	 不错            
(4星)	 并不完美，可这就是青春            
(5星)	 这个才是真正的经典，今年的重大收获之一!            
(4星)	 喜欢喜欢，我们应该珍惜友情，喜欢卓越，但这样的结果搁他身上也未免太惨了点，好人凭啥是这样的结局呢            
(NA)	 不错的片子……            
(4星)	 不错的电视剧            
(2星)	 更纠结...            
(5星)	 没的说~好!            
(4星)	 绝对5年之内在中国拍电视剧没有人能超的过            
(NA)	 我想念大学的寝室生活了，我老了            
(5星)	 ★★★★★★            
(5星)	 叶京给了我们个机会从新阅读王朔.他娴熟的象个手术医生一样,一刀一刀,一片一片精准的扒开时代的皮,以展现活生生地,有热乎气地青春.            
(5星)	 经典。            
(NA)	 那代人挺有意思的            
(5星)	 最喜欢卓越了            
(4星)	 音乐~青春~那个年代~            
(5星)	 看了之后的好长时间对别的剧失去兴趣            
(3星)	 开头还行，后来的就剩下臭贫了。佟大为怎么总演傻×。方言就是个装B贩子            
(4星)	 过去的，现在的，将来的            
(5星)	 我觉得比《奋斗》好看呀！            
(4星)	 太特么长了 太欢腾也太能折腾了 但是几个演员真是特别有意思 猜测人物原型的时候也特别有意思 第四颗星给人物原型吧 倒叙式的讲法也比较像一些回忆体的小说 歌曲也挺好听 陈羽凡做的不错            
(4星)	 一帮北京爷们儿胡侃乱扯着玩过青春的岁月。后十几集像是悬疑片，但并没什么大阴谋，结果没想象中的惊心动魄。            
(3星)	 从妈妈讲故事的音乐开始，但并非妈妈讲的故事。比起他们的青春来，自己的青春躲在了角落，像是找不到了。是不是人出名了，穿开裆裤的事情都可以拿出来炫耀一番？            
(4星)	 断断续续，似乎看了很多集，很复杂的感觉。。。            
(3星)	 什么感情是不会变质的？面对现实，什么都显得那么脆弱。。。            
(5星)	 这是一部太好看的电视剧            
(NA)	 个人觉着比血色1要好看            
(5星)	 我会再花时间看的电视剧            
(NA)	 P话太多，80后和70后的差别好大            
(5星)	 王朔 玩的就是心跳            
(NA)	 美好的童年一起不复返            
(5星)	 喜欢不喜欢很私人，爱看不看            
(3星)	 痞            
(NA)	 不错            
(NA)	 又是一部大院文化的作品，血色浪漫的另一部力作。了不起的叶京，了不起的佟大伟、文章！当然盛赞之外，还是有诸多的反省之处！            
(3星)	 没坚持，有点啰嗦...            
(5星)	 我看哭了            
(NA)	 遥远的青春            
(5星)	 青春            
(3星)	 那个时期的生活虽然很粗糙，但却不会再有！！            
(NA)	   这个假期 算是比较用心看的一部电视 是一集一集看完的 真的是很久很久没有看电视的习惯了  因为要上学  没有时间  也因为大家都喜欢从网上一下子看好多集 或跳跃式的看    与青春有关的日子 一听名字 大概我这样的孩子就会想看看  那我一集集看完后的感触呐  哦 我喜欢里面这群人的敢做 自由 甚至有些放肆  我喜欢里面的方言和乔乔 很喜欢乔乔 她一出现 我就喜欢 把手插在裤兜里 不正眼瞧别人    ..             
(4星)	 Maybe the story is not interesting, but the actor&#39;s line is really classic. The story is not perfect, because the life is not interesting itself. It tells us how strong and classic the Beijing dialect is! And Wang Kuanglin leaves me a deep impression, his            
(NA)	 那些与青春有关的日子，随着青春的流失，一点点的剥离于我的生活。            
(4星)	 有些冗杂            
(3星)	 原型过于明显 叶京擅长的题材            
(5星)	 不在乎的外表下流着感伤的泪            
(NA)	 肤浅滴说....淫乱跟年代无关....嘿嘿....            
(4星)	 其实我没看下去 但是作为那个年代的人集体记忆来说还是不错的            
(5星)	 我觉得这个要比血色浪漫好看得多，后者我都看不下去。真是一个混乱的年代啊，“月亮在白莲花般的云朵里穿梭……”这首歌反复歌唱，演绎的如此之忧伤让人感怀！            
(NA)	 就真诚这点来说，放眼国内剧集，均无法望其项背            
(4星)	 很不错，就是稍微长了些            
(5星)	 莫名其妙的喜欢  伤感的怀旧   是我上大学以来第一次感动,伤心的想哭            
(5星)	 每个人都只有一次青春，那会是一段唯一的、难忘的、无悔的日子，如果再把这段日子放到特殊的时代背景中，那就成了。            
(NA)	 我们无处安放的青春年华            
(3星)	 很真实。。。            
(4星)	 前面很好、中间太慢、结尾太快。            
(4星)	 快感瞎掰            
(5星)	 这样的青春 很纯            
(NA)	 d            
(4星)	 和阳光灿烂的日子差不多吧    都是一个院子的孩子弄出来的            
(NA)	 大学时候很火的片子~于是就看了~被感动过~            
(NA)	 喜欢就是喜欢            
(NA)	 同样，也是过去年代的电影，现在反倒比较喜欢70，80年代题材的电影，可能是对过去的回味吧。            
(4星)	 那个年代            
(NA)	 冲着王朔看了大半部,后来确实看不明白了.            
(NA)	 嘴戏AGAIN            
(3星)	 凑合            
(NA)	 又是在学校熬通宵看的            
(NA)	 真实点的不太一样的文革            
(NA)	 感觉更像是在追忆父母亲的印象！            
(NA)	 莫名其妙地喜欢那个年代            
(3星)	 脏、乱、差！贫、臭贫、太贫了！            
(NA)	 佟大为            
(3星)	 看两个相爱的人如何彼此伤害有点心痛的感觉            
(5星)	 我们浪费掉了太多的青春，那是一段如此自以为是、又如此狼狈不堪的青春岁月，有欢笑，也有泪水；有朝气，也有颓废；有甜蜜，也有荒唐；有自信，也有迷茫。我们敏感，我们偏执，我们顽固到底地故作坚强；我们轻易的伤害别人，也轻易的被别人所伤，我们追逐于颓废的快乐，陶醉于寂寞的美丽；我们坚信自己与众不同，坚信世界会因我而改变；我们觉醒其实我们已经不再年轻，我们前途或许也不再是无限的，其实它又何曾是无限的？曾经在某一瞬间，我们都以为自己长大了。但是有一天，我们终于发现，长大的含义除了            
(NA)	 有那么一点熟悉~~            
(5星)	 忠于原著,演员表演到位,前后风格统一,只是稍有冗长.            
(3星)	 还行            
(NA)	 希望更多的人关注这部电视剧            
(NA)	 一部让人说不完的电视剧……            
(5星)	 动人的歌声，让我神往那样的后革命年代            
(NA)	 我喜欢            
(5星)	 又是佟大为。不得不说他的确适合饰演这种被女人宠坏了的矫情拧巴的角色。            
(3星)	 一帮看似有点不正经的小孩，混乱的感情生活。拍的有点冗长。没坚持看完。还是缺乏体验吧，看过王朔的书之后再看或许要好些。文革题材的青春剧，喜欢血色浪漫更甚，因为更正经一些。不过，电视剧片头曲《听妈妈讲那过去的故事》不错。            
(5星)	 看一遍一遍一遍又一遍            
(1星)	 看得直恶心            
(3星)	 没经历过没有发言权，老妈看了两眼说挺假的，很做作，所以没啥好感，就是觉得电视在放，顺便看了两眼            
(4星)	 A tribute to Wang Shuo and the 50&#39;s -- strangely echoed by the 70&#39;s            
(2星)	 闹事儿比较少 都小捣去了            
(5星)	 绝对经典的电视剧。迄今最好看的。            
(4星)	 看了大部分吧，还是挺真实的            
(5星)	 最后有些看不懂了            
(3星)	 很有特色的语言，人物关系太乱。            
(5星)	 感情强烈！推荐一看。            
(5星)	 青春……            
(NA)	 京片子的魅力            
(5星)	 看了就羡慕            
(5星)	 在家看的，很喜欢            
(3星)	 真的~有点受不了里面的人的生活态度~！            
