http://movie.douban.com/subject/1761848/	夏娃的诱惑 이브의 모든것
(5星)	 当年，还有凤凰卫视，在凤凰卫视上看到的，张东健帅死啦~~            
(5星)	 大学时候就看过咯            
(5星)	 大夜里12点等着看。            
(5星)	 挺好的一部剧。            
(5星)	 儿时记忆            
(5星)	 很经典！            
(5星)	 男主很赞~            
(4星)	 喜欢            
(4星)	 还记得情节，喜欢            
(4星)	 男女主角都很喜欢啊~我的第二部韩剧！            
(4星)	 最初的回忆            
(5星)	 很不错呀。            
(4星)	 !            
(5星)	 大爱徐迎美。。。。            
(4星)	 张东健很有型~还是比较喜欢金素妍呵呵。            
(5星)	 生活 美好            
(4星)	 主要因为金素妍            
(NA)	 很经典的            
(5星)	 经典 喜欢 并不因为fairytale            
(5星)	 经典韩剧之一，徐迎美甄善美的斗争，到最后，结局蛮感人的            
(5星)	 最喜欢的一部韩剧            
(5星)	 永远的尹理事...            
(5星)	 经典            
(5星)	 从张东健，蔡琳，到现在发现其实我也很爱金素妍，除了这部剧的魅力，我想不出其他理由。            
(5星)	 堪称经典。。。            
(NA)	 女人原来可以这样有心计...            
(5星)	 永远的经典            
(3星)	 初中时的韩剧            
(5星)	 最喜欢的韩剧，看的次数也不少            
(5星)	 还是喜欢那个时候的蔡琳            
(4星)	 张东健当初很爱啊。。汗和HRR学会了爱这个词。。。            
(5星)	 很喜欢的一部电视剧，以前没有动力的时候会看看~            
(NA)	 这是静姐的最爱，嘿嘿那个帅气、成熟、体贴、温柔的男人            
(4星)	 比较难忘            
(5星)	 完美型男            
(3星)	 早年的经典吧~当年的金素妍真是美女啊            
(4星)	 最早接触的韩剧之一，记忆中各个电视台都播过...            
(NA)	 小时候看的，当时感兴趣的是女主的名字，翻译过来是“真善美”，很和谐很强大。            
(NA)	 哦 这应该是在大学里看过好几遍的韩剧了吧 俊男美女良景             
(4星)	 最初看的时候好喜欢蔡琳 在里面真美好的摸样            
(5星)	 让人印象深刻 看了还想看的电视剧～            
(5星)	 |3223:3837|            
(4星)	 很久很久以前~~~ 我看过了            
(5星)	 真善美，美丽又善良的女孩，是人世间恶俗所不能变更...            
(4星)	 这是我看过的第一步韩剧            
(5星)	 看了至少三遍 美得让人心痛            
(4星)	 男主角不会喜欢坏坏的女二号。            
(5星)	 我和我妈都特别喜欢看            
(4星)	 N多朋友喜欢学长，太虚幻了~~            
(NA)	 经典 啊 经典            
(5星)	 就4个字 百看不厌。            
(4星)	 只在这里喜欢张东健            
(NA)	 第一步韩剧            
(5星)	 我看的第一部韩剧啊。。。            
(5星)	 看哪了很多遍都看不厌，超喜欢的            
(NA)	 记得当时放了5天假，偶就守在电视机旁把看此剧！其实那也预示了我今后的人生将是在电影和电视剧里荒芜掉            
(5星)	 念念不忘            
(5星)	 超超超……爱            
(4星)	 我妈妈喜欢的呵呵            
(4星)	 我看的第一部韩剧            
(3星)	 蔡琳真漂亮啊！            
(4星)	 这样的男人  绝种了            
(5星)	 最爱的韩剧二            
(5星)	 张东健很帅            
(4星)	 这部当初也很喜欢            
(4星)	 让我想做主播 呵呵            
(4星)	 哎。。。俺永远的学长            
(4星)	 最爱的韩剧            
(5星)	 韩剧的起点，大爱大爱            
(4星)	 这也是跟我娘一起看的            
(NA)	 珍藏电视剧。我的张东健！！！！尹翔泽，完美男人~            
(5星)	 两个女主角是极与极啊            
(5星)	 爱上张东健～            
(NA)	 这里的蔡琳很漂亮！可是之后的作品里却找不到这种感觉。            
(5星)	 韩剧永远的经典……            
(4星)	 可爱能干女主播，帅气英明台长，竟然看过书，印象最深是她突然打了他的小肚子，说，原来一点都没老，他楞了然后他笑了            
(4星)	 张东健最胖的时候            
(4星)	 “真善美”与“假恶丑”            
(5星)	 看过最多遍的韩剧 几乎只要在播都在看~~这里面的金素妍好美~~            
(5星)	 一度沉迷尹享哲            
(4星)	 这让我明白，什么叫真爱。。。享哲，风度，单纯的喜欢。。            
(4星)	 过去的美好            
(3星)	 剧情已经记不得了。除了韩剧当时“一贯作风”幸福来临时，男主/配角被车撞死。            
(5星)	 哈~            
(5星)	 我只能说，经典啊！！            
(5星)	  很喜欢的电视剧之一，很爱张东健，很喜欢蔡玲呵呵。里面的故事，还是那么简单，坏得很坏，好的很好，却有很多让我感动的元素……            
(5星)	 她们说，我一辈子有这部剧就够了。七年了，很多细节、台词、他的表情依然让我成了另一个我，她们见证了的。            
(4星)	 金素妍~~~            
(5星)	 算是蛮经典的韩剧            
(5星)	 经典的韩剧，看了很多遍            
(5星)	 经典!~            
(5星)	  老片  经典            
(3星)	 为什么张东健已经很少拍电视了，可是蔡琳还在活跃着~~~            
(3星)	 金素妍美得真是撩人又逼人。            
(5星)	 我就是喜欢...            
(5星)	 不仅仅是爱情            
(5星)	 完美的童话。在当时张东健+蔡琳很合我心意。            
(5星)	 最爱            
(5星)	 算是最早接触的韩剧之一，里面的演员现在都是大明星啦~            
(5星)	 经典。            
(5星)	 完美的享哲            
(5星)	 让我学会宽容            
(5星)	 蔡琳还是在这里可爱...            
(NA)	 对着张东健流口水~~~            
(5星)	 看了五遍以上……            
(5星)	 知道韩剧就是因为这个。            
(5星)	 最喜欢的韩剧！就是喜欢善美和佑振哥！！            
(5星)	 韩宰硕,我冲着他看的.            
(NA)	 混乱的关系            
(3星)	 开头很杯具，中间很励志，高潮很惊悚，结局很哈皮。            
(NA)	 经典            
(3星)	 认识了蔡琳            
(2星)	 居然看过这么多肥皂剧            
(5星)	 一步之外的守候            
(4星)	 韩剧启蒙             
(4星)	 喜欢那里面的张东健            
(4星)	 这样的学长真完美！            
(NA)	 大爱            
(4星)	 从前看这部剧喜欢蔡琳的            
(NA)	 早了...            
(3星)	 喜欢里面的金素妍，那种赤裸裸的对欲望的追求            
(NA)	 真善美，人性的追求，没有本质上的好人与坏人            
(4星)	 我妈最爱的张东健。。。            
(4星)	 让我中毒很深            
(5星)	 這算是我第一部韓劇了。。。值得紀念            
(4星)	 不怎么喜欢善美            
(4星)	 很喜欢那首插曲。            
(4星)	 张东健太帅啦            
(4星)	 超喜欢张东健的角色， 看了很多遍            
(5星)	 老韩剧。蛮经典的。            
(5星)	 初中最喜欢的韩剧，美好的青春回忆。张东健，不要这样么，为什么这么的帅呢？            
(5星)	 还是小女孩的时候喜欢的            
(NA)	 最爱~            
(5星)	 韩剧啊。。。            
(4星)	 尹享哲社长...在法国那段很好看呐...            
(4星)	 喜欢韩载硕            
(5星)	 最最最好看的韩剧。            
(NA)	 永远的最爱，百看不腻！            
(4星)	 第一次看韩剧就是这个.            
(5星)	 经典的，那个低头偷笑的男人，好可爱啊            
(4星)	 很早的韩剧，当时觉得蔡琳好可爱啊，可惜现在整容失败，差了好多啊            
(NA)	 很少看韩剧但这一部是唯一一部我收藏了的从头到尾看很多遍每次大都会为金佑振难过的韩剧。            
(4星)	 张东健成熟稳重的男人形象百看不厌            
(5星)	 不冲着片，冲着我的永希。            
(NA)	 不是特别爱看韩剧~但这部确实不错~            
(5星)	 我看韩剧的开始            
(NA)	 经典 张东健完美            
(5星)	 好像每一次看都有不同的感觉，这一次应该是第5遍了，世界上真的有像善美一样这么美好的一个人吗？真的很喜欢善美，一个很善良很可爱的女人.......佑振哥怎么可以这么痴情呢？每一次看到他伤心落魄好心痛哦。他一次一次地原谅迎美，她却一次一次地无视他的存在。而迎美，为什么就不能珍惜她所拥有的一切，事业对于她就有那么的重要？重要得可以不惜一切代价去争夺，她是由羡慕善美变成嫉妒善美。其实，如果迎美懂得去珍惜，去善待每一个关心她的人，她应该可以比善美过得更幸福......            
(5星)	 蔡琳那时很年轻啊……            
(4星)	 貌似是韩剧完美爱情的始祖，我觉得里面的张东健假呀也有点胖，但是我想相信有这样的人存在            
(NA)	 当时的金晶恩还是个小角色            
(5星)	 很小的时候看过的。可能从那时侯开始喜欢看韩剧。但是现在，已经没有什么好看的值得我去看了。            
(4星)	 经典经典！！            
(4星)	 真的被诱惑了，结局不怎么好            
(5星)	 我少有的百看不厌的韩剧。            
(NA)	  那时还没厌倦小泡菜            
(5星)	 金素妍太漂亮            
(3星)	 很久很久以前的。。。            
(3星)	 就是不喜欢女一号那种做作的伪善。            
(3星)	 童年的回忆....            
(NA)	 经典！            
(4星)	 很喜欢迎美这个角色，她不是不喜欢佑振，只是对金钱的欲望使她迷失了自己，结局是让人心疼的            
(4星)	 小学还是初中看的啊..忘了..            
(5星)	 经典啊。张东健在里面是神一样的男人啊……            
(5星)	 张东健除了脖子短点还是很帅的            
(4星)	 自认为是蔡琳演过最好的一部片            
(NA)	 基本上是心里面爱情的经典呀～ 高中时候最爱的片子，看了无数无数遍。            
(5星)	 挺老的片子了。看的时候还很纠结于韩载硕的死。总是出车祸，可怜的孩子……            
(4星)	 韩剧中的经典，让我想起聪头，还有我美好的初中时光~            
(5星)	 我一直觉得这个是经典。好帅的东健            
(5星)	 请你！为了我！留下来！我放弃一切，只为你爱你！所以原谅，所以包容，可是你为何不回头，需要我鲜血的洗涤还是生命的奉献，不论什么，我都给你！请你相信我！我爱你！            
(NA)	 看得人心软软的            
(5星)	 真正看的第一部韩剧            
(4星)	 就这韩剧让我看了6遍...            
(NA)	 经典呃            
(4星)	 这是我所看的第一部韩国连续剧，也是唯一的一部。喜欢蔡琳的清纯、可爱。            
(4星)	 看过的第二部韩国连续剧，所以印象很深            
(4星)	 又一部经典            
(3星)	 当年我比较喜欢金素妍……因为她长得漂亮……||||            
(5星)	 最爱的可爱公主 蔡林！！            
(3星)	 没想象中的那么好            
(5星)	 男的帅，女的靓。有个舍友因为看不了金素妍那么坏，居然没看完。可惜。            
(NA)	 曾经大爱的韩剧，张东健真是帅啊真是帅            
(4星)	 很经典的韩剧，，值得一看            
(5星)	 尹享哲最完美的王子~장동킨~당신을 사랑합니다            
(4星)	 看的很早的韩剧            
(4星)	 人生第一部韩剧。            
(4星)	 淡淡的爱情，歌曲很好听            
(5星)	 经典的不知看过多少次了。这次看怎么感觉某些台词好肉麻。            
(NA)	 好人有好报哦～当时就幻想自己以后有了男朋友也会给自己当众戴上精致的脚链～            
(5星)	 真是不折不扣的童话啊            
(3星)	 就是结局不太好            
(NA)	 喜欢迎美.            
(NA)	 现在看来女猪真是气死人            
(4星)	 蔡琳很早的一部剧，善良又漂亮的主播            
(NA)	 韩剧            
(NA)	 我看韩剧的起源。            
(3星)	 哈哈 我亲爱的小惠妹妹看过这个之后就给自己的网名改成了真善美            
(5星)	 影响至深的爱情故事。多么希望在下一个路口遇上那个完美的学长。            
(5星)	 嘛，看过的最好的韩剧了……            
(4星)	 头一回知道，原来女人可以这么坏，却还是恨不起来。            
(5星)	 我的第一部韩剧！            
(5星)	 人生看的第一部韩剧            
(4星)	 喜欢蔡琳可爱的笑容            
(5星)	 好久远啊            
(NA)	 很喜欢善美纯真的性格，也很佩服迎美的勇气            
(5星)	 最完美怎么也无法忘记的童话,记忆里的永远的第一部韩剧            
(5星)	 张东健在里面也太帅了吧！            
(NA)	 很想再看，最喜欢的一部韩剧，太经典了            
(5星)	 就是喜欢积极正义的针锋相对。            
(5星)	 曾经很喜欢很喜欢            
(4星)	 当年看得我那一个叫激动            
(3星)	 比较早进入中国的韩剧。其实现在想想剧情傻傻的。那时的张东健真是第一美男，现在邋遢又消瘦的样子实在不招人喜欢。金素妍很漂亮，非常适合眼这种阴险的美女。蔡琳也很可爱，招人喜欢。            
(5星)	    这或许是我看过的第一部韩剧，却深深地吸引了我，至今我都认为这是同题材剧集中最好看的。而蔡琳的甄善美现在都无法让我忘记。            
(5星)	 蔡琳好清纯            
(NA)	 喜欢 金素妍 喜欢她在里面的角色 想起一个人老孙 2个人有点感觉上相近            
(5星)	 这个大家都应该知道好看,假如电视播的话,我还是一样会看的!不过我可能会讨厌它不是韩语的!            
(3星)	 早期的韩剧了，很同情徐迎美...            
(4星)	 蔡琳甜美的笑容一直是我所爱            
(NA)	 經典的狗血            
(3星)	 童话            
(3星)	 我不讨厌迎美            
(4星)	 学长啊...            
(5星)	 可爱的蔡琳            
(NA)	 大概是我最初接触到的韩剧,再看现在的韩剧,风格完全变掉了,不得不说一句:&#34;人家进步的是快,暂一个!&#34;从那时起就知道蔡林,陆陆续续看过她的一些片子,不是每部都可圈可点,不过整体呈上升趋势,恩欣赏.            
(5星)	 永遠的經典他們四人永遠的悲傷童話            
(4星)	 当时觉得好好看~~            
(5星)	 导演拍得很唯美，不过现实社会中没有这样的，但是看着还是很好看，特别善美的眼泪总是让我也忍不住流泪            
(NA)	 以前喜欢张东健,自从看过他的那部无极就不喜欢了!            
(5星)	 经典            
(5星)	 很好看，看过３遍还是想再看，太喜欢里面的男女主角了……            
(5星)	 话说这是我看的第一部韩剧            
(5星)	 学长最高！            
(4星)	 傻大姐的幸福生活            
(NA)	 很久前就看过剧中插曲很舒服很喜欢            
(5星)	 啧啧。。。尹理事。。。            
(NA)	 超级经典            
(5星)	 N遍            
(NA)	 学长。。。连妈妈也被征服。。            
(5星)	 喜欢。            
(5星)	 很经典的汉剧            
(NA)	 大爱张东健时看的，很喜欢            
(NA)	 刚开始很讨厌银美，后来觉得她很可怜，佑振和享哲帅呆了            
(NA)	 童年记忆  张东健真帅！~~            
(5星)	 蔡琳就只会笑，然后俘虏了张东健            
(NA)	 我看过的第一部韩剧。也是一直喜欢看的韩剧。            
(NA)	 不喜欢蔡琳            
(5星)	 看的第一部韩剧            
(4星)	 嫉妒和仇恨带来的只有追悔莫及的悔恨            
(5星)	 最稀饭！            
(3星)	 很早就看过了的。。。还是在凤凰台播的时候。。。            
(5星)	 最喜欢的韩剧!            
(4星)	 我的第一部韩剧，，，还是我娘介绍我看的。。。。            
(5星)	 百看不厌            
(4星)	 简单的人物设定，好人和坏人。            
(4星)	 确实韩剧里很好看的~~            
(4星)	 最早喜欢的韩剧，喜欢那是的蔡琳            
(4星)	 又一部很经典的韩剧            
(5星)	 张东健, wa~~~~            
(NA)	 韩国            
(4星)	 其实更同情银美。。。            
(NA)	 开始接触韩剧            
(5星)	 金素妍最后失忆的样子像天使一样美丽。            
(5星)	 最喜欢的韩剧            
(4星)	 似乎是自己看的第一部韩剧            
(NA)	 张东健 他对她梦想的理解与支持            
(4星)	 这么经典还用说            
(NA)	 我最爱的电视剧~~            
(NA)	 .            
(NA)	 看好多次了 但还是喜欢看关于善美和尹前辈的剧情            
(4星)	 韩剧的经典之作            
(5星)	 看的第一部韩剧            
(5星)	 女主播的故事            
(NA)	 要做个好人！            
(5星)	 第一部韩剧~            
(5星)	 感谢凤凰卫视...高中时期在那里看了很多经典韩剧            
(NA)	 初一半夜起来偷偷看..            
(NA)	 唯一一部看过不下十遍的电视剧喜欢学长            
(NA)	 夏娃的誘惑            
(5星)	 男主角绝种好男人~没看就浪费了~经典            
(5星)	 韩国的经典~每次电视台重播，我都忍不住的再看，已至于看过不下十遍了。主要是张东健太让我爱罢不能了            
(5星)	 很爱~~~~~            
(5星)	 爱情 成长 真善美            
(NA)	 当年觉得很感动的            
(4星)	 是我看过的韩剧里最喜欢的一部。一部不仅仅只是爱情的韩剧。            
(5星)	 最早看的韩剧 也是永远都能耐得住性子都爱看的韩剧            
(3星)	 拿妈咪的碟看的.还不错.            
(4星)	 童年的回忆。。认识的一个女孩子，每年必看此剧至少1遍。。汗！！            
(NA)	 long long ago~~一声叹息            
(3星)	 初中还是高中看的，应该是接触最早的韩剧吧            
(5星)	 喜欢6年了···看了不下十遍··            
(5星)	 最爱东建～！！            
(NA)	 善良和手段相遇，爱情是检验药            
(5星)	 还是喜欢徐迎美，还是讨厌真善美。            
(5星)	 看的最早的一部韩剧了吧。不过很喜欢            
(NA)	 一直都不大喜欢蔡琳的··            
(NA)	 当时的张东健长得很不错，有型，手指很漂亮。            
(5星)	 这是我最早喜欢的韩剧～            
(5星)	 咱的东健哥哥……其实徐迎美又有什么错呢？            
(NA)	 部分            
(5星)	 追得很夸张            
(4星)	 美好的年少，纯真的年纪，向往着一个零缺点的“学长”······            
(5星)	 太好看了~~~            
(NA)	 断断续续看的            
(4星)	 很久很久以前看的，好像是看的第一部韩剧吧            
(4星)	 当年看的时候深深的爱上了蛇蝎美人。            
(NA)	 不能不看的韩剧            
(NA)	 真 善 美            
(5星)	 其实更喜欢金素妍～～当时就很喜欢她那种狠狠坏坏的感觉～～巧的是～她也是十一月二号出生的呢～～～还有她恶狠狠的眼神～～让我着迷……            
(5星)	 超级无敌喜欢这部电视剧~            
(5星)	 有的人的努力，要用自己换来。            
(4星)	 太美的感情了。幸好善美最后和学长在一起的。            
(5星)	 韩剧的经典            
(5星)	 韩剧中的经典之作，也是我最喜欢的一部韩剧。多年后仍让人难忘。            
(4星)	 女主播的故事，真的很好看，蔡琳可爱无敌啊            
(NA)	 我的挚爱            
(5星)	 还是哭啊哭...            
(3星)	 冲着韩载硕看得（当时）……但是，一般般啦~反而金素妍很出彩！            
(3星)	 挺喜欢蔡琳的！            
(5星)	 最早打开市场的一部韩剧,堪称经典!            
(4星)	 还是湖南经视，我最钟爱的频道，打造了仇晓和汪涵的频道，带给我无数美好记忆的频道.&#34;享哲哥...&#34;善美受到伤害，尹享出差回来接到留言，马上放下行李来到善美的办公室，善美眼含泪水靠着尹享哲宽厚的肩膀娇缜地呢囔着享哲的名字，多幸福的女人啊，有一个不求回报的男人守护着，又是多幸福的男人啊，有个挚爱的女人靠着他..... 不过我想现实中，那或许只是个梦罢了            
(5星)	 ME 的最爱！！！            
(5星)	 和妈妈一起不知重温了多少回            
(NA)	 完全冲着张东健去的，但是发现他残了不是一点点            
(3星)	 我看过的最早最完整的韩剧。。。10年了            
(4星)	 我喜欢张东健！呵呵            
(NA)	 经典啊~~~···初中的美好回忆啊            
(5星)	 人性种种与爱的真谛。。。            
(5星)	 第一次看的韩剧～～～不知道看了几遍了～～～最喜欢的韩剧了～～            
(NA)	 喜欢张东健            
(5星)	 经典            
(NA)	 当初很喜欢蔡琳  现在不是很喜欢了            
(NA)	 那时候天天看电视 考试都没及格 被妈妈给骂惨了~            
(5星)	 超级喜欢张东建！            
(NA)	 最爱            
(5星)	 我心中永远的经典之作~~~~~            
(NA)	 很久以前看的了            
(3星)	 也是很小的时候接触的剧集，第一次对女主的人选感到了质疑，大圆脸，霸气不足实力欠佳，这么个差劲的形象编剧倒有胆量编下去的。后来才知道，那是自己涉世未深经验不足..囧            
(5星)	 高中起就因为这个喜欢蔡琳            
(5星)	 看了又看            
(4星)	 诱惑！            
(5星)	 最好看的韩剧            
(4星)	 最喜欢剧中的男主角，他实在是太完美了，又帅又多金，聪明，性格又好，也很温柔，又不花心……总之，男主角身上基本上没有缺点，只可惜，现实生活中找不到这样的绝种好男人了。            
(5星)	 狠一点            
(4星)	 就是看这部片子让张东健成为了韩剧里第一个我最喜欢的演员，尤其是他略带忧郁的大眼            
(5星)	 我对韩剧的初恋:)            
(5星)	 星空卫视当年的诱惑……            
(5星)	 经典韩剧，那会儿的张东健真帅            
(5星)	 除了某个不知名的理由，这部连续剧怎么看也都是经典。            
(NA)	 真的有学长这样的男人?            
(NA)	 那时候喜欢很喜欢 蔡琳             
(NA)	 从来没有看全过。            
(NA)	 初中时和好友疯狂迷恋的韩剧  似乎那时的韩剧对我们特别有吸引力            
(5星)	 看第二遍是和妈妈一起看的，妈妈一直追完了，虽然是每天晚上10点多播            
(3星)	 看完了明白一个道理 坏女人也有人爱得死去活来            
(NA)	 经典！特别喜欢尹享哲，简直就是完美男人！！！            
(NA)	 蔡琳            
(5星)	 很早就看了这部剧，算是我看过最早的韩剧之一，张东健饰演的那个角色很man，爱情很是美丽，如果你对爱情充满向往，就看看吧。那个时候第一次看金素妍，并不觉得漂亮，角色也很讨厌，可后来看了她演的孪生兄妹，应该比这部剧早，那里面她很纯，漂亮的让人感动。            
(4星)	 人，生出来就是不平等的            
(4星)	 经典啊            
(4星)	 看的第一部韩剧~~~当时好狠那个坏女人迎美~~好喜欢善美~~哈哈            
(4星)	 張東健難得演次好男人            
(5星)	 经典中的经典~~~ 无论生活、爱情、工作，我们都要有 真 善 美！            
(5星)	 很青涩的他们 很经典的韩剧            
(4星)	 宰硕又死了……呜呜            
(4星)	 尹理事...真的有那么完美的人吗...可以那样爱和照顾自己爱的人...那样宠爱和保护...真的有这样的人吗...            
(NA)	 00            
(NA)	 因为这部电视剧，我开始了做媒体的职业道路            
(5星)	 我也爱主播！            
(5星)	 好就之前看的了，那时韩过电视剧刚进入我们的生活中，情节上都不错拉！            
(5星)	 想当年啊。。。            
(5星)	 最喜欢的韩剧            
(NA)	 遇上学长就好了 哈哈            
(5星)	 我要是男的就一定取善美这么可爱的女子;我以前就想嫁亨哲这样的男子.但爱上的却不是            
(5星)	 超喜欢的一部韩剧，喜欢张东健那样的成熟男人            
(5星)	 好经典的!!一定要看!可以重复N遍的看~学长~善美            
(4星)	 反派女角很有爱            
(NA)	 张东健，韩载锡，蔡琳forever            
(NA)	 我喜欢第二女主角            
(4星)	 那会儿韩剧还没这么火呢，算是比较早进入中国市场的优秀作品之一啦，我很喜欢~~~   （小V不得不又偏一下题：哪像现在啊？不管三七二十一，带个韩字的就都引进国内来，参差不齐的，看也懒得看了，一看就倒胃口~~~）            
(5星)	 真想杀掉爱你的那个我.            
(5星)	 张东健演的学长，真是完美男人啊~~            
(5星)	 看过无数遍 经典 喜欢 张东健 就是从这部开始            
(NA)	 喜欢~~            
(4星)	 好早好早前的片子 那时觉得张东健好帅            
(5星)	 超喜欢的一部片子，因为美，因为现实，几年后的现在依然看得流泪，            
(5星)	 我很喜欢蔡琳哦~            
(NA)	 有没有尹理事~            
(NA)	 如今的大牌            
(NA)	 经典 喜欢蔡琳            
(NA)	 第一次睇的韩剧            
(5星)	 就是喜欢看！            
(5星)	 大爱大爱            
(4星)	 那个男主，真的很棒！            
(NA)	 看了这部片才晓得找男朋友要找哥哥级别的            
(5星)	 因为它投入了传媒事业呵呵            
(NA)	 最喜欢的韩剧            
(5星)	 实在是太喜欢这个时候的张跟蔡了，韩也不错            
(NA)	 天使一样的善良...            
(3星)	 泛泛啦            
(5星)	 很赞的韩剧            
(NA)	 夏娃的诱惑             
(5星)	 非常喜欢            
(3星)	 又是一个王子与公主幸福生活的童话            
(NA)	 当初一直在追·~            
(4星)	 其实故事很老套，不过看起来不那么老套            
(NA)	 经典            
(NA)	 美丽的童话~~            
(5星)	 韩国             
(NA)	 虽然不喜欢蔡琳，但是这部剧还是比较好看            
(NA)	 女主角太善良了,男主角太帅了            
(5星)	 结局有点...冲着善美和翔哲也不能不看。太美好了&gt; &lt;             
(4星)	 经典韩剧啊            
(NA)	 静静的感动            
(4星)	 还好·            
(5星)	 看了超过5遍以上，还想看的经典韩剧            
(3星)	 老早的韩剧。            
(NA)	 已经看过两遍,现在第3遍中            
(4星)	 满好。只是斗争太多            
(4星)	 戏中完美的张东健            
(4星)	 张东健帅的一塌糊涂 (*^__^*) 嘻嘻……            
(5星)	 看的第一部韩剧            
(4星)	 看的时候一直喜欢银美            
(3星)	 金素妍才是整部片子的闪光点！            
(5星)	 很经典的韩剧！            
(4星)	 张东健好帅哪！            
(5星)	 少数很喜欢的韩剧之一吧，喜欢善美那样的翔哲那样的人好好的在一起            
(NA)	 喜欢蔡琳纯美的样子            
(5星)	 韩剧最爱            
(5星)	 这是我看过N遍的  好看张东健真是帅            
(NA)	 我的韩剧启蒙!            
(5星)	 韩流始祖 开创一代经典            
(NA)	 是我最爱的韩剧。。            
(NA)	 看过的不多的韩剧之一，张东健，n多人眼中的大帅哥啊            
(3星)	 很不错            
(5星)	 初中时看的 一直看到现在 百看不厌 深爱享哲            
(4星)	 善美只是善美，但迎美是真，她的假都是真。            
(5星)	 蛮喜欢的韩剧~~~~~~~            
(NA)	 甄善美，这次你又在哪里哭啊            
(3星)	 典型的韩剧。不过感觉张东健不够韩宰硕帅。呃，会不会被人骂死啊……            
(4星)	 四星半差不多            
(4星)	 韩剧之祖            
(4星)	 老妈超爱看            
(5星)	 第二女主角很漂亮            
(NA)	 超爱,精神之柱            
(4星)	 剧情有些拖沓（韩剧都有的毛病），但里面的张东健超有型。            
(5星)	 因为此剧喜欢上了张东健和蔡琳，而且憧憬有尹享哲那样的男朋友，呵呵。。。            
(NA)	 我的第一部韩剧～没有变质的韩剧，值得珍藏．．            
(NA)	 成长的感情，            
(4星)	 张东健帅死了~金素妍演技超赞！            
(NA)	 沒有完完整整的看過一遍            
(NA)	 无可救药爱上他            
(NA)	 早期看过的不错的剧.....            
(5星)	 对我影响很深的电视剧            
(NA)	 也就是女主播的故事了，好看            
(NA)	 喜欢蔡琳的笑！o(∩_∩)o...            
(3星)	 善良的人会受到有恶意的人的伤害，但最终会好起来的            
(5星)	 很喜欢，百看不厌，觉得剧中的尹享哲简直太完美了。            
(NA)	 别人看完很久才去看的剧，觉得金素妍演得够坏，和她长相真匹配．            
(5星)	 看了好几遍            
(5星)	 让若干年前的我开始思考善恶美丑的话题思考的结果是，我仍然喜欢迎美，她并没有坏到极致，也没有多善良，我并不同情她            
(NA)	 早期的韩剧我喜欢的，不错！            
(3星)	 看的第一部韩剧            
(5星)	 享哲对善美说: 我想起小学时的排排站, 你就在佑振后面向前看齐,我在你后面向前看齐, 而我后面呢．．．没人了             
(5星)	 经典经典！！当时看的还是配音版！！！            
(3星)	 张东健的手长的很好看            
(4星)	 最初看的韩剧,很吸引我            
(5星)	 一部还用浓重的笔墨讲述爱情的韩剧。宝妮的最最爱韩剧！            
(5星)	 最喜欢的韩剧。            
(4星)	 最初的感动            
(4星)	 大长今 外 最好的一部韩剧            
(4星)	 羡慕死里面的甄善美 因为爱她的人是那么完美 完美的在现实生活里找不见            
(5星)	 多少女生曾為尹理事傾倒。            
(5星)	 尹响哲~~梦中的白马王子!            
(5星)	 张东健，完美；韩载锡，心碎。            
(5星)	 我的最爱            
(NA)	 经典            
(5星)	 这戏真是经典中的经典。学长对善美的爱呀，让人羡慕S鸟.2010.12.11            
(5星)	 爱张东健            
(NA)	 我喜欢做主播            
(NA)	 还挺经典的.            
(NA)	 看过次数最多的剧剧~~~~但是一次也没有看全过~~哈哈~~~            
(4星)	 毕竟是我青春期喜欢的             
(NA)	 赞吖            
(5星)	 大爱            
(5星)	 经典的老韩剧            
(4星)	 看了三遍只因有你            
(5星)	 怎么才能有你在身边的感觉？像爱上海洛因一样的爱上了你。            
(NA)	 最近还特意复习了遍的片子            
(NA)	 不停反复看的            
(5星)	 难忘的剧集~··从这部开始喜欢上了张东健！！            
(4星)	 经典了，倒数第二集让我哭得一塌糊涂，不过其实我真没觉得有什么好哭的~            
(5星)	 喜欢咯            
(NA)	 超级超级喜欢的电视剧啊,看了好多好多次            
(NA)	 喜欢最久的韩剧            
(4星)	 好久之前看的,被张东健迷死了            
(4星)	 喜欢张东建            
(NA)	 181            
(5星)	 很久以前看过当时很不错            
(5星)	 超喜欢尹享哲理事！            
(5星)	 最爱的韩剧            
(5星)	 完美的学长！            
(NA)	 让我也想爱上学长……            
(NA)	 我最喜欢的韩剧，百看不厌            
(NA)	 挺好            
(NA)	 完美的学长，幸运的善美，羡慕的我            
(4星)	 喜欢张东健！            
(NA)	 经典的故事情节            
(5星)	 爱上蔡琳出其不意、环环相扣的情节很好的一部韩剧值得一看            
(NA)	 看过，而且很喜欢看            
(NA)	 未完成            
(5星)	 最喜欢的韩剧之一            
(NA)	 以前的韩剧拍得都不错。            
(5星)	 我看的第一部韩剧..            
(5星)	 看过无数遍            
(NA)	 每次感觉都不一样！            
(NA)	 王子公主的爱情            
(NA)	 早就看过了……张东建真是个好好男人。。。。。。。。。。            
(3星)	 还好,接触比较早的韩剧.迎美很漂亮...            
(3星)	 还行            
(NA)	 最喜欢的韩剧            
(NA)	 看过N遍也不厌倦            
