http://movie.douban.com/subject/1786753/	天国的阶梯 천국의 계단
(4星)	 电视里放的时候片尾曲很有感觉哦，印象最深的就是金泰熙的白眼，嘿嘿            
(3星)	 也是韩剧经典之一            
(3星)	 喜欢这里面的权相宇…            
(NA)	 太感人了            
(4星)	 虽说剧情又臭又长，可是，俺只稀罕权GG那张脸！            
(NA)	 看了无数遍            
(3星)	 承俊哥！——为了崔智友才看的            
(NA)	 初中~写着作业偷偷看的刺激            
(NA)	 一直没看过完整版。。。            
(5星)	
(3星)	 老妈爱看~= =|||            
(3星)	 估计是面纸厂家赞助拍摄的。。。            
(4星)	 现在才发现权相佑一点都不好看！            
(5星)	 看來自己還是喜歡看悲劇的多啊~~男女主角一定要是我喜歡的型！恩~哼哼~~            
(4星)	 男人也可以很苦情，男人也可以梨花带雨            
(4星)	 痴情男...            
(1星)	 巨烂  快超越我底线了            
(4星)	 第一次看是在高三，哭得唏哩哗啦            
(3星)	 看过一些。比较慢。            
(2星)	 无语。。。            
(4星)	 金泰熙是我第一个喜欢的坏女人            
(4星)	 简直太不喜欢崔智友的一成不变的表情了。            
(4星)	 权好帅，金好美            
(3星)	 一直在哭...            
(NA)	 大学寝室几男一起看哭了。什么玩意儿。            
(3星)	 不得不佩服泡菜旧瓶装新酒的功力。            
(5星)	 某个晚上被它赚去了很多眼泪的我床上满是纸巾            
(NA)	 当初看的时候竟然哭得稀哗啦，权相宇跟那谁长的好像啊，那时候咱为情所困来着。(～ o ～)~zZ游乐场很华丽，承俊的出场也很帅~其实友立蛮漂亮，就是不善良~            
(NA)	 在还流行韩剧的时候            
(4星)	 很俗啊~~            
(3星)	 太悲伤了            
(3星)	 韩剧有帮助排毒的功效啊             
(5星)	 看了已经好多年了，具体的情节都有些忘了。只是那种悲伤，哀愁依然很深入人心。            
(5星)	 痛哭流涕。。            
(4星)	 很经典的韩剧，看的眼泪水哗哗的            
(3星)	 太磨叽了            
(4星)	 结局太悲惨            
(4星)	 喜欢李莞            
(2星)	 标准的韩剧模式            
(5星)	 大家就哭吧~            
(3星)	 只能用一个字来形容看的时候的心情：“恨”            
(2星)	 陪看            
(5星)	 虽然给的5星，但这种悲剧我实在是不爱看。            
(4星)	 只能说 人好看 也哭过啦他抱着她的时候 真的很伤心~~权相宇~~             
(4星)	 权相佑好帅            
(3星)	 也就随便看看。            
(NA)	 等待~~~~~~~            
(5星)	 当时555~后妈好可怕！！！            
(4星)	 曾经有人还为这部片子跟我吵了一架.            
(3星)	 催泪炸弹            
(3星)	 不喜欢这两个主角，所以不是很认真地看            
(2星)	 真的不觉得剧情有多好，演员也不喜欢，因为发现内地的像风一样离去明显是抄袭的这部电视剧，而像风一样离去如果不是有聂磊和霍思燕我是无论如何也没办法忍着想吐的感觉看完的。            
(NA)	 低俗哇……            
(NA)	 记得另一个某人很爱看，每天晚上都看得红了眼睛            
(4星)	 长            
(4星)	 权相佑最经典的出演~~            
(4星)	 蛮凄美的爱情，不过不太喜欢崔智友，感觉比较老            
(5星)	 权相佑 因为这部剧中完美的姜诚俊 对着他花痴了五年 如今他已为人夫为人父 五年 收集他的点点滴滴 渐渐的发现 这还真是个靠谱的男人 今天 我的目光已经不随他流转 但是诚俊带给我对男人判断的影响至今仍未消失 崔智友 典型的韩式美女 小巧的脸 细长的眼 高挑的身材 很喜欢的女演员            
(3星)	 你们的爱情就是为了折磨我们吗            
(4星)	 权相宇的成名作^_^            
(3星)	 喜欢韩剧的时代已经逝去            
(4星)	 尤记得和玄一起在教室看~            
(1星)	 充斥着动不动就噙满眼泪的双眼以及明显是拖戏的滥俗突发事件，这戏真的烂到天上去了            
(5星)	 很凄美            
(4星)	 反派女角太漂亮了，那双大大的眼睛。这戏也太悲了点吧，编剧？？？我主张有情人终成眷属，你干吗还这么坏，真是的。让我来好好想一想。韩静书，对不对，至于男主角吗，嘿嘿，不记得了            
(3星)	 没有一个是我的菜~金泰熙还演了坏女人，叫我怎么看得下去~            
(3星)	 根本韩剧，暧昧...            
(5星)	 爱情是会回来的.            
(4星)	 回头看看。。。好雷啊，当初我还真多愁善感            
(3星)	 好好地一部，被某某卫视播了N次之后完全成烂俗了            
(4星)	 太磨人……太磨人！能再紧凑一点就好了            
(2星)	 冬日恋歌的男女主角互换后拍摄而成            
(3星)	 韩国就喜欢这样的剧情，但还是带给我感动了，汗~            
(2星)	 ……剧情太扯了            
(4星)	 苦死人的片子，韩国的片子就怎么惨怎么好。。。            
(3星)	 很喜欢小时候的情节还有演员 长大了就...            
(4星)	 很喜欢 虽然感觉很假            
(4星)	 看到屏幕仿佛都要流出眼泪了            
(4星)	 高考            
(4星)	 看韩剧较少时看的，绝症剧情还觉得挺感人            
(3星)	 男二太丑，女一太装，当年就觉得金泰熙很美，虽然她演了个大JP，但是，仍然挡不住铺面的美色啊~~~~~甩女一几条街~            
(3星)	 不喜欢太悲情的，            
(3星)	 现实中没有童话，所以我们才看韩剧。            
(3星)	 就是赚人眼泪啊，比较典型的韩剧了一切剧情都太有设计感了。。看完后，静下来想想，这是这样而已啊。。静书这种人。。世上没有的            
(4星)	 zhenjiujie            
(1星)	 看得好累呀，女猪脚他爸就好像个弱智            
(4星)	 悲。。。            
(5星)	 这样的爱情令人神往            
(5星)	 剧情很悲，记住了当时的小演员            
(4星)	 这个高中也爱看…… 还喜欢里面的配乐 囧            
(NA)	 这个不好看            
(5星)	 崔智友剧集中我的最爱.我喜欢那个没有悲伤没有分别的天国.每每看剧都会感动都会痛哭.我就是这么爱STH..权相佑配崔智友,我的最爱            
(3星)	 !            
(NA)	 权相佑~！            
(4星)	 看多了都是眼泪...            
(5星)	 还是很悲情滴~~泪~~            
(4星)	 痴情人的故事            
(4星)	 有点纠结            
(5星)	 让我哭得最伤心最累的一部电视剧。            
(3星)	 五小时看完一部剧也是个厉害的事情。            
(4星)	 完全是喜欢里面的两主角而看            
(3星)	 与妈妈一起看了些许 悲剧就是有师奶缘            
(3星)	 剧情很弱啊            
(2星)	 很久以前看过的            
(2星)	 假就一个字            
(3星)	 韩国标准洋葱剧            
(3星)	 电视上一遍又一遍的重播啊重播啊...            
(4星)	 当初可真是哭死我了 现在看来怎么觉得那么白痴            
(3星)	 崔大妈害人啊！            
(4星)	 花痴历史：我的野蛮女老师花痴依旧            
(4星)	 权相佑追公车那段印象深刻            
(1星)	 此剧的编剧有脑残嫌疑            
(4星)	 悲剧，记得后来大陆还翻拍了一部。            
(4星)	 哭啊哭            
(NA)	 看这部剧，还是在多年以前。那是我第一次看电视看到流泪，因为戏中的悲伤地故事，心情低落。因为对故事的结局付诸了太多的美好希望，才会对悲凄的结果而惋惜流泪。天国的爱情，誓死不渝，我一直惦记在心。直到，许多年以后，你对我说，天国的阶梯，是你爱的向往，你一直在寻找，一直在等待。。            
(NA)	 真是不喜欢崔智友，老            
(4星)	 男的演有钱人都帅！            
(5星)	 想当年，GF给我推荐后我就回家看了，的确不错。如果不看最后一集不是悲剧，看了就是悲剧了。我曾为此做过个mv，可惜的是那个视频网站over了，还有很多我收藏的该剧的其他MV啊！！！            
(NA)	 凄美            
(3星)	 一般般...充斥著靜书和诚俊哥... 金泰熙的眼神兇起來不是一點點邪惡...            
(3星)	 提到韩式爱情似乎注定不会一帆风顺，见怪不怪了。只是这里的情节苦涩浪漫的有些令人费解。值得庆幸的是这部连续剧使我开始客观的评价权相宇，并喜欢上这个实力派的帅哥。            
(NA)	 慢的我当时差点摔电脑～            
(3星)	 安徽卫视播了好多遍哦            
(4星)	 很唯美            
(4星)	 又一眼泪片            
(NA)	 海边那白色的三脚架钢琴            
(3星)	 感性的好朋友和我老妈在这上面从第一集洒泪到最后一集            
(3星)	 申贤俊丑的都无与伦比了。            
(5星)	 虽然很感人，但崔智友和权相宇怎么看都不是很配...            
(3星)	 有时候，善良也是懦弱的一种            
(5星)	 我们看的时候很轰动啊            
(5星)	 哭吧            
(3星)	 虽然剧情漏洞百出又狗血，但是还是被权相佑感动到了。。。。。爱情，还会回来的            
(4星)	 关键是演员演的好，演的不好的长的好。当年整个宿舍一起看都哭的哇哇的            
(3星)	 悲的跟什麽似的            
(4星)	 太压抑            
(NA)	 没看完整，理由同《蓝》...            
(5星)	 根本就是催泪剂啊！            
(5星)	 催泪经典            
(2星)	 老套路，回家吃饭时，陪妈妈看过的电视剧。            
(4星)	 好看！！            
(NA)	 最拖的韩剧，拖死            
(3星)	 受不了虐人的情节            
(5星)	 美丽的爱情，我有吗？            
(4星)	 感人            
(3星)	 觉得没有想象中的好看            
(4星)	 蛮喜欢权相宇的小嘴巴，呵呵。            
(3星)	 太悲伤了……            
(3星)	 无奈权相宇的大陂头。两个死了，一个疯了，一个入狱。真的有够悲。            
(3星)	 骗眼泪的            
(5星)	 哭死了            
(3星)	 我能说我更喜欢聂远同学那版么～脑残～            
(4星)	 不喜欢这种结局~只死一个~哎~            
(4星)	 恩 那时很喜欢男主··            
(NA)	 权相佑，你也太帅了吧，苦笑都很动人            
(4星)	 挺不错的韩剧，就是结局太悲了，真的希望能够重新拍一下结局，喜剧的结局多好啊，就不会留下这么多遗憾了~            
(2星)	 演员一个也不喜欢，权相佑没有贵公子气质。。。            
(NA)	 典型韩剧             
(3星)	 一般性吧……            
(3星)	 快进            
(5星)	 心中永恒的经典。初二的时候看的，至今都记得其中感人的片段。我相信权相宇自身有这种真情与善良才能够把车诚俊演绎的那么好。乐天世界的溜冰，咖啡店的谈话以及诚俊一个人坐在外面泣不成声，小旅馆里两个人一起看漫画到后来的谈心掉泪。“我小时候有三个梦想。。。为了你，我抛弃前两个了。”            
(3星)	 要多惨啊。。。            
(4星)	 看这部电视剧就觉得憋闷啊～男女主角爱得好辛苦～            
(3星)	 虽然很喜欢崔智友，但是，拜托，这个实在是苦的时间太久太久了，并且不算善终            
(4星)	 催泪弹            
(4星)	 赚足了眼泪            
(4星)	 从这里喜欢权相宇。            
(5星)	 可怜泰华……又是一个不止一次为了女主角撞车给换眼睛的。            
(2星)	 一直在泪眼朦胧            
(4星)	 ，女主的味道很美；            
(1星)	 这剧情，岂是狗血二字评价的了的··            
(3星)	 一个字，悲！            
(4星)	 十分憋气            
(5星)	 韩剧 不是尽头            
(4星)	 崔平均一集哭两次            
(4星)	 童年时候那段很感动~            
(3星)	 彻头彻底的悲剧。不过会不会有点过头了呢。            
(5星)	 我妈喜欢的~            
(4星)	 催泪弹            
(4星)	 很悲情，，脱离不了韩剧的哀伤            
(NA)	 情节很俗套,但各主演的表演堪称如火纯青            
(3星)	 典型韩剧            
(4星)	 因为看这个，忘了男友的生日            
(3星)	 剧情够跌宕            
(4星)	 爱情太不完美，好不容易结合了又永久地分开了            
(3星)	 快乐才刚刚开始，悲伤却早已潜伏而来            
(NA)	 金泰熙眼睛真是...大~每次都快蹬出来~            
(NA)	 好伤感啊            
(3星)	 小悲情            
(5星)	 从此喜欢上了权相宇，忧郁的眼神            
(3星)	 太悲了，喜欢权相佑！            
(NA)	 权相宇的痴情有目共睹。。。            
(NA)	 典型的韩剧。            
(5星)	 是幸福的， 又很悲伤~            
(5星)	 看了几遍还是感动            
(5星)	 可能看了有个七八遍了吧...每次都是边看边哭 哎            
(3星)	 太惨            
(NA)	 又系诚俊哥啊            
(4星)	 还可以            
(3星)	 我怎么什么韩剧都看过啊...            
(5星)	 又是一个悲剧            
(4星)	 悲……            
(3星)	 哦哟！崔智友和权相佑的眼泪哟！！            
(NA)	 哭啊哭            
(4星)	 哭的一塌糊涂，男主角的爱情很童话            
(3星)	 拖沓，但从第一集开始就揪紧人心，很辛苦            
(4星)	 我哭得那是个唏哩哗啦，看到女主角后觉得我受的委屈都不算什么            
(NA)	 这部片子里的金泰熙演得还不错啦，不过非常喜欢崔智友。            
(5星)	 权相宇追女手段白看不厌            
(4星)	 会让人忍不住掉泪，却又忍不住不看            
(3星)	 老是失忆失忆，不太喜欢权相宇的长相。            
(4星)	 是我看过的很伤的韩剧中比较好看的~            
(3星)	 OST还不错            
(4星)	 喜欢权相宇深情的眼神．现在他结婚了，祝他幸福．有个男同事看了五遍．晕死．            
(5星)	 这个也太惨了点            
(3星)	 我不喜欢悲剧            
(NA)	 没看完，男二太丑了            
(4星)	 把我給哭慘了，我也喜歡上這個算不上帥的男人～            
(NA)	 现实生活中又有谁能爱得像静书的男人呢？            
(4星)	 高考备考时看的，我真佩服自己，就是太伤感了            
(NA)	 很悲情啊            
(3星)	 受不了老少配诶            
(5星)	 老妈的最爱。            
(NA)	 悲伤、短暂却永恒的幸福            
(5星)	 ０３年看的，简直没想到这部戏现在那么火。。            
(3星)	 悲情韩剧，男女主人公小时候的演出更加精彩，赚了我不少眼泪            
(NA)	 也只看过一大半            
(4星)	 tragic story            
(NA)	 天国的阶梯             
(3星)	 还不错.喜欢小时候的男主            
(4星)	 这也是我比较深刻的韩剧之一，姐姐介绍看的。很感人。            
(5星)	 不知流了多少泪啊！            
(3星)	 受不了别人的误会……            
(NA)	 超感人de ~            
(5星)	 这是我第一次看着看着就发觉眼眶湿润的电视剧。。            
(2星)	 太悲情了……            
(2星)	 这对配得感觉很诡异。。。            
(NA)	 一直莫名迷恋悲剧--想哭时必看剧。            
(3星)	 不太喜欢崔智友            
(3星)	 不知道为啥我爸那么喜欢看。我看得好头大。            
(4星)	 嗯 静书太苦了             
(NA)	 错过和误会的聚集地            
(5星)	 很经典。而且是目前唯一看得进去的一部悲剧。开头和结尾都很唯美。很浪漫            
(NA)	 天国的阶梯            
(4星)	 权相佑，其实长得还不错，穿西装很震人。            
(NA)	 骗足人的眼泪            
(3星)	 一般，虽然我当年哭了。            
(NA)	 因为这部戏喜欢上了权相佑            
(4星)	 感人            
(NA)	 帅帅的权相宇，可惜要结婚了            
(3星)	 只能说是一般啦～～～太沉闷了……            
(3星)	 天国的阶梯            
(4星)	 后面有点太拖沓            
(5星)	 非常感人...看过3次,每次看都会哭            
(5星)	 韩剧的代表！            
(3星)	 粗略看国点            
(3星)	 不太喜欢悲剧            
(3星)	 承认拍的不错 可惜结局不是我的style            
(3星)	 ...就是哭戏太多了            
(NA)	 我们家崔智友真是名副其实得悲情女王~            
(4星)	 即使最后不过是失去，至少我们曾经在一起。            
(4星)	 挺好看的。城俊小時候很帥。            
(NA)	 权相佑比较帅 女主角没金泰熙美            
(NA)	 真的不喜欢一直都是哭的电视呢...            
(NA)	 感人啊            
(NA)	 跟妈妈一起看的 呵呵            
(NA)	 不谈剧情的话 金泰熙还是很漂亮的            
(4星)	 不错  男主比较让人感动            
(4星)	 经典韩剧            
(NA)	 真是悲情啊            
(4星)	 美女＋帅哥            
(5星)	 快乐。悲伤。            
(NA)	 看过一集            
(4星)	 高三时候的回忆，看了两遍，哭了两遍            
(NA)	 当时看的自己稀里哗啦，相当喜欢权权，现在在回头看，其实也就那样了。            
(2星)	 女主角笨得让人难以置信，而且整部剧编得太不真实。            
(5星)	 喜欢权相佑，HOHO            
(4星)	 悲剧            
(NA)	 唯一看过的一部韩连续剧，花了我不少眼泪，不想再看别的了            
(NA)	 哭死....            
(5星)	 强忍着的坚强            
(4星)	 杯具            
(NA)	 好悲情，一直哭得感觉            
(NA)	 没看完            
(4星)	 我哭得一塌糊涂，尤其到最后阶段。崩溃大哭的程度，把我爸都看傻了。而且这是唯一一个一出场就极度令我讨厌的男二号，不用相貌，仅用性格，就征服了我的角色。虽然剧情狗血又抓瞎，但是当时真的很感动。            
(4星)	 小的时候很喜欢看的...            
(NA)	 喜欢两个主角~            
(1星)	 一般。就会让人哭。男二号也有点太缠人了。演主角童年的俩演员也太做作。就是为了看全相宇而已。            
(5星)	 我和我妈妈一起看的，然后哭得个西里哗啦的。            
(3星)	 权相佑还是挺MAN的            
(2星)	 太假            
(5星)	 感动！            
(3星)	 陪老妈看的。            
(5星)	 当时我期末考都在看...哭惨咯            
(NA)	 天国的阶梯            
(NA)	 看的第一部韓劇            
(4星)	 那哥的深情是焦点，虽然丑了点...            
(NA)	 总是煽情            
(NA)	 天国的阶梯            
(5星)	 剧里的配乐不错。演员演得不错。还是蛮感动的片子。            
(NA)	 爱到极致是祝福....是付出...            
(NA)	 权相佑            
(NA)	 看了一半            
(3星)	 一般            
(5星)	 经典悲剧难以超越            
(4星)	 悲情，痛苦。。。。            
(4星)	  很是喜欢里面的音乐衬托。故事一般，可是和舍友一起看，就很有气氛。记住了那段美好时光。            
(5星)	 我最爱的一部。            
(NA)	 看了觉得挺难过得            
(4星)	 7.6 权相佑            
(4星)	 虽然不符合逻辑.. 但是没大脑的时候瞎看还是ok的. 里面的配乐很好听..            
(NA)	 天国的阶梯 权相佑            
(3星)	 女主竟然还是死了..无语            
(4星)	 只看了一半！            
(3星)	 单纯的觉得有点拖沓...            
(3星)	 我妈和我姥姥爱看            
(NA)	 现实会有吗            
(5星)	 晚上12点在旋转木马那见面            
(NA)	 那种爱情很喜欢            
(5星)	 当初看的那叫一个心血澎湃内地居然翻拍了两个版本            
(4星)	 因为这部喜欢了权相宇            
(NA)	 哭死了            
(5星)	 我看得是每集都哭~            
(4星)	 哭死了            
(NA)	 又浪费了多少眼泪            
(2星)	 不喜欢权相佑那个丑男            
(4星)	 权相佑哭功了得            
(NA)	 断断续续没看几集，感觉桥段太老套~            
(NA)	 看过了天国的阶梯，为男女主人公的爱情，深深感叹：太不容易了。            
(3星)	 拥有所有韩剧应有的情节。。完全模式化。。            
(3星)	 经典套路            
(NA)	 ...以前啊，            
(NA)	 看完了很纠结....             
(NA)	 喜歡权相佑 漸漸也開始喜歡崔智友 但是不喜歡這個上面的她 沒有完整的看過            
(NA)	 悲惨            
(5星)	 让我哭得一塌糊涂的韩剧            
(NA)	 被国内翻拍了 真丢人 其实也没那么赞！            
(5星)	 权权。。。            
(4星)	 很悲            
(4星)	 哭得稀里哗啦的...比较老套的韩剧的一种走法            
(5星)	 我哭了 不止一次            
(5星)	 经典。            
(2星)	 打发时间用            
(NA)	 不喜欢结局太快了            
(5星)	 经典韩剧，赚人眼泪。            
(4星)	 又是泪水...            
(NA)	 没有完整的看，只是跳着看。。。最后女主死了，真让人郁闷！            
(4星)	 劇情實在不合邏輯和老套,不過權相佑演得深情又讓人忍不住會看一下。            
(NA)	 居然我更喜欢金泰熙            
(2星)	 不适合我            
(5星)	 2006            
(3星)	 超狗血，但当时看的起劲。2010.12.11            
(2星)	 很不好            
(3星)	 太拖沓            
(NA)	 爱情真的要这么悲惨吗            
(3星)	 又是一個得絕症的            
(NA)	 250            
(5星)	 泪奔······            
(3星)	 故事是凄美感人的，演员我却不喜欢。不如让金泰熙出演主角的好。。。            
(NA)	 喜欢            
(NA)	 相信真爱            
(5星)	 很好            
(NA)	 韩国            
(3星)	 it is beatiful at then ,my feeling            
(NA)	 很不错的片子            
(4星)	 如果有个男人肯为我死            
(5星)	 经典中的经典，从头到尾情节都没让我失望过            
(3星)	 觉得比较不错的一部韩剧，印象最深的是配乐和主题曲很好听            
(2星)	 不太喜欢，连原本很喜欢的崔智友都是。            
(4星)	 不错的连续剧，再次成就了虚幻的角色。            
(2星)	 看不动...            
(5星)	 花了两天的假期看完这部电视剧，值！            
(4星)	 过了很久才看韩剧免不了就是这些。。但是我是因为去看权的，呵呵            
(4星)	 跟着韩剧学习表达爱            
(NA)	 喜欢            
(NA)	 不忍心看最后一集，也一直没有看。想象着存在的丁点遗憾，也是另一种完美吧            
(5星)	 QQ$CC，偶曾经的最爱~            
(4星)	 很好看            
(NA)	 老一套感人的韩剧            
(NA)	 大家有没看雀圣2自摸天后里恶搞该剧,笑害了.经典语言是:&#34;承俊哥,我眼睛看不见了&#34;            
(NA)	 .............            
(5星)	 很美的悲剧...高二时好喜欢好喜欢...现在也喜欢...            
(3星)	 看了，哭了            
(3星)	 老早就看了。。符合韩剧的作风啊。。从此喜欢上了金泰熙。。            
(NA)	 我的眼泪啊。。。            
(3星)	 太悲了,看的也断断续续,不过总算看完了            
(4星)	 看着韩静书哭着喊承俊哥时，心都碎了尽管结局没有逃出韩剧的模式，仍然是一个韩剧经典，可以不看其他，一定要看这一部            
(3星)	 权相佑，原谅我HC一下，不过剧情太老套了啦！            
(NA)	 喜欢男主角那样的人`，说不出来``            
(4星)	 好朋友很喜欢这剧 一定要我看 很感人 也很无奈 男女主角并不是我特别喜欢的演员 但我还是会为这部剧感动 其实我比较倾向于喜剧 喜欢看着喜剧哭 那才是境界啊.. 啊哈哈            
(5星)	 爱上了悲伤            
(NA)	 太幸福,即使死亡            
(NA)	 爱情的偶然            
(2星)	 有点无聊...讨厌悲剧            
(3星)	 喜欢他们三个人小时候            
(NA)	 很悲，看这部片子让人很气愤，气女主角的忍让，气女主角爸爸的懦弱，气女二号和她妈妈的蛮横，让我感动的是男二号的牺牲！为什么男主角最后没有殉情？            
(4星)	 好看            
(4星)	 典型韩剧            
(4星)	 虽然没看全，但是不爽大陆翻拍            
(3星)	 没有兴趣再看下去            
(3星)	 天国的阶梯            
(NA)	 2004.12            
(3星)	 　车诚俊(权相宇饰演)：某集团董事长的独子，从小喜欢音乐，幼年时就被称为钢琴天才儿童，长大后顺理成章的接管了家族旗下的企业，与静书从小亲梅竹马，但却因为一场事故而分开，多年后，当两人再次相遇，静书却已经失去了记忆，诚俊痛苦的成为了静书脑海中的陌生人，当静书再次恢复了记忆，恶毒女友的破坏，母亲的门第之见，又再一次成为障碍阻隔在两个相爱的人之间，尽管如此诚俊却一直深情不移的对待着静书。 　　 　　 韩静书(崔智友演)：车诚俊从小的恋人，名教授的独生女儿，在母亲突然病逝后，与父亲两个人生活，但继母以及其            
(3星)	 太悲情了。            
(NA)	 老妈超爱看            
(NA)	 Love it. it is all about what love means. Loving one person can be lifelong...            
(NA)	 幸福的人有时总会得到不幸的眷顾！            
(5星)	 从头哭到尾            
